contrast,split,horizon,n_C,n_B,p_C,p_B,delta,p_value
C_vs_B,IS,8,10,204,0.7,0.3333333333333333,0.36666666666666664,0.035283264956601196
C_vs_B,IS,16,10,204,0.7,0.43137254901960786,0.2686274509803921,0.11271834544150343
C_vs_B,IS,32,10,204,0.7,0.4950980392156863,0.20490196078431366,0.3321989476003757
C_vs_B,Validation,8,6,121,0.5,0.4628099173553719,0.037190082644628086,1.0
C_vs_B,Validation,16,6,121,0.6666666666666666,0.628099173553719,0.038567493112947604,1.0
C_vs_B,Validation,32,6,121,0.6666666666666666,0.6611570247933884,0.0055096418732781816,1.0
C_vs_B,OOS,8,4,93,0.75,0.3978494623655914,0.3521505376344086,0.30291730642684794
C_vs_B,OOS,16,4,93,0.75,0.5161290322580645,0.2338709677419355,0.6191382574664341
C_vs_B,OOS,32,4,93,0.75,0.6236559139784946,0.12634408602150538,1.0
