off,H,state,raw_d,matched_med_d,matched_min_d,matched_max_d,n_bins
15,15,quiet_wait,-0.19407192343733204,-0.14820481436148514,-0.19196259227918644,-0.12875317323684743,3
15,15,low_local_vol,-0.26688971610437096,-0.20722944856160241,-0.3056197583041669,-0.20646660358632024,3
15,15,high_local_vol,0.19161010004956947,0.1723699556154964,0.08673530153085107,0.2918954362650813,3
15,15,vol_expansion_low,-0.20784448997371763,-0.1734560156141084,-0.18027718278253774,-0.15823326644592306,3
15,15,vol_expansion_high,0.1551183143034538,0.12295576496970018,0.04907131721070723,0.2823556471950909,3
15,15,wide_ON_quiet_open,-0.29434189728361565,-0.23750830319580774,-0.2414284112021925,-0.2272238426567159,3
15,30,quiet_wait,-0.12148281282803608,-0.10108119135046922,-0.12226809839222674,-0.05881065623996973,3
15,30,low_local_vol,-0.15166458589088117,-0.1195893411576111,-0.13017340205627215,-0.11425741266591827,3
15,30,high_local_vol,0.09212754549776936,0.09284818067754075,0.02258469259723961,0.1521769540129394,3
15,30,vol_expansion_low,-0.12779523915721291,-0.10570777600115966,-0.11999566503467973,-0.0663041962916493,3
15,30,vol_expansion_high,0.0860403823118866,0.0843375423796684,0.015719704038887228,0.15303984950670735,3
15,30,wide_ON_quiet_open,-0.19472727977030113,-0.14741155958219954,-0.18015087751807946,-0.06565060152040747,3
30,15,quiet_wait,-0.23350428235944187,-0.20355133115808388,-0.29218334989978656,-0.138352238566676,3
30,15,low_local_vol,-0.27787195405123416,-0.2488614008138626,-0.3019570813230025,-0.1824193736174176,3
30,15,high_local_vol,0.21604403270348949,0.2289815447710185,0.0737761216631333,0.3182410365320436,3
30,15,vol_expansion_low,-0.22510813495575677,-0.1738397718434016,-0.2614867737486649,-0.14736071247179994,3
30,15,vol_expansion_high,0.18437533599216183,0.19218500797448168,0.0752027850919823,0.2156061780666706,3
30,15,wide_ON_quiet_open,-0.2897773791813192,-0.23576799140708915,-0.25625261396905064,-0.19635750361394178,3
30,30,quiet_wait,-0.15693465948335406,-0.1350782616919658,-0.17686454072903257,-0.1114172912741993,3
30,30,low_local_vol,-0.19144052212992024,-0.17917104589430566,-0.2138172787126984,-0.13393875887763418,3
30,30,high_local_vol,0.11909051307044216,0.11998177261335163,0.03960433522260198,0.18955793907161855,3
30,30,vol_expansion_low,-0.15123951710479455,-0.12380088151413016,-0.15443242738782836,-0.11226864155534289,3
30,30,vol_expansion_high,0.10447419151136783,0.11175666438824339,0.03687242652906142,0.13708330848589667,3
30,30,wide_ON_quiet_open,-0.21063015098372362,-0.1702470461868958,-0.1717559295415202,-0.12275198661647846,3
60,15,quiet_wait,-0.2205449234194597,-0.17075822085333814,-0.3493734335839599,-0.1250061867099571,3
60,15,low_local_vol,-0.3023137719222561,-0.24774702714232388,-0.4735113646184427,-0.20028334437767065,3
60,15,high_local_vol,0.265861342735787,0.26308827624617104,0.14045707489061632,0.37181278379322386,3
60,15,vol_expansion_low,-0.22550194785735694,-0.1585974000823065,-0.33270676691729323,-0.1438140806561859,3
60,15,vol_expansion_high,0.22037357836860727,0.17159423983688038,0.13190510522882548,0.29612688029275086,3
60,15,wide_ON_quiet_open,-0.2738267025866405,-0.19644118446074438,-0.3827067669172933,-0.18516880436385075,3
60,30,quiet_wait,-0.15519630999981138,-0.11574116012923874,-0.1729323308270676,-0.11099947536699561,3
60,30,low_local_vol,-0.2595654374991554,-0.22588385858262683,-0.33549390718174743,-0.19337111258368944,3
60,30,high_local_vol,0.1777688413204742,0.16231551099972152,0.08523958200586212,0.2944371932275677,3
60,30,vol_expansion_low,-0.1795642440374412,-0.151014306809654,-0.17888471177944854,-0.12726361357940308,3
60,30,vol_expansion_high,0.14879013833446308,0.12614162524956463,0.06940295945342811,0.23573082465713502,3
60,30,wide_ON_quiet_open,-0.2450047643346117,-0.2054514171873585,-0.22055137844611528,-0.17401346503513693,3
90,15,quiet_wait,-0.2225076110412776,-0.16479003131300135,-0.29891536108278477,-0.15809525305766559,3
90,15,low_local_vol,-0.30076606244741316,-0.27530195944290625,-0.3272221032340972,-0.22143952217301852,3
90,15,high_local_vol,0.2665219743784809,0.2979086641058472,0.12238285873887778,0.41244108996846324,3
90,15,vol_expansion_low,-0.24023642814728707,-0.19772444829404234,-0.28361993737487806,-0.17737775061124694,3
90,15,vol_expansion_high,0.22187411225193787,0.20322620393337582,0.11641184902054469,0.3319404312069349,3
90,15,wide_ON_quiet_open,-0.31065322164209075,-0.32446593436215376,-0.42204968944099375,-0.19263137379965278,3
90,30,quiet_wait,-0.2080993104650909,-0.17574958177840688,-0.20912209140632243,-0.15031853137789364,3
90,30,low_local_vol,-0.28426246294007673,-0.2659970324077712,-0.3141143713857357,-0.20804623249611026,3
90,30,high_local_vol,0.20029372398895073,0.2087067861715749,0.09133493822070304,0.29393005208887,3
90,30,vol_expansion_low,-0.22121076054411204,-0.1775916870415648,-0.22947487295313385,-0.176753031558334,3
90,30,vol_expansion_high,0.15895255874355751,0.14105400757531117,0.06925764452938366,0.24649922204934427,3
90,30,wide_ON_quiet_open,-0.30561850938091684,-0.29323909966978906,-0.4491718426501035,-0.20606994791113004,3
