T_offset,regime,n,med_pre_rng_onr,med_pre_exc_onr,med_abs_move_onr,med_vol_cluster,med_accel,med_expand_ratio,med_compress_then_expand,med_speed,med_tr5,med_rng_early,p_resolve_15,med_share_pre_15,med_post_max_15,p_already_15,p_early_15,p_early_resolves_15,p_resolve_30,med_share_pre_30,med_post_max_30,p_already_30,p_early_30,p_early_resolves_30
15,HIGH,821,1.00418410041841,0.8275862068965517,0.59375,0.7857142857142857,-0.014035087719298246,1.7441860465116277,0.0,0.03958333333333333,4.0,0.6020408163265306,0.9232643118148599,0.8888888888888888,0.5066079295154186,0.9110840438489647,0.012180267965895249,0.012180267965895249,0.9914738124238733,0.7804878048780488,0.6896551724137931,0.7783191230207065,0.040194884287454324,0.040194884287454324
15,LOW,791,0.40816326530612246,0.2916666666666667,0.13636363636363635,0.7903225806451614,-0.004323094425483502,1.4285714285714286,0.0,0.00909090909090909,4.55,0.26373626373626374,0.561314791403287,0.81,0.2693156732891832,0.7762326169405815,0.05056890012642225,0.05056890012642225,0.7774968394437421,0.64,0.3902439024390244,0.5537294563843237,0.14917825537294563,0.14917825537294563
15,MID,793,0.646551724137931,0.5,0.3076923076923077,0.7730061349693251,-0.00842911877394636,1.597938144329897,0.0,0.020512820512820513,4.6,0.40963855421686746,0.8171500630517023,0.8636363636363636,0.3772455089820359,0.8537200504413619,0.021437578814627996,0.021437578814627996,0.9457755359394704,0.7241379310344828,0.5230769230769231,0.6935687263556116,0.07061790668348046,0.07061790668348046
30,HIGH,821,1.2903225806451613,1.0445682451253482,0.75,0.7540983606557377,-0.0032748538011695937,1.6212121212121213,0.0,0.025,3.55,0.8125,0.9220462850182704,0.9746192893401017,0.4857142857142857,0.9598051157125457,0.00243605359317905,0.00243605359317905,0.9780755176613886,0.8851674641148324,0.6185567010309279,0.9171741778319124,0.010962241169305725,0.010962241169305725
30,LOW,791,0.5256410256410257,0.36893203883495146,0.1956521739130435,0.7264833574529668,-0.0005453690644099674,1.3587786259541985,0.0,0.006521739130434783,4.2,0.3627450980392157,0.5120101137800253,0.975609756097561,0.25301204819277107,0.8836915297092288,0.011378002528445006,0.011378002528445006,0.7231352718078382,0.8181818181818182,0.3395061728395062,0.7787610619469026,0.04677623261694058,0.04677623261694058
30,MID,796,0.8198617725146445,0.6382583981368176,0.4026998597475456,0.7264682220434433,-0.0015790682414698162,1.4593406593406595,0.0,0.013423328658251518,3.65,0.5667741799477191,0.7726130653266332,0.961665785195197,0.3544849274332557,0.9183417085427136,0.008793969849246231,0.008793969849246231,0.9170854271356784,0.8707932692307692,0.4750722869793078,0.8417085427135679,0.031407035175879394,0.031407035175879394
60,HIGH,825,1.6144578313253013,1.3125,0.9647058823529412,0.6355685131195336,-0.0010639308444951086,2.1188524590163933,0.0,0.01607843137254902,2.9,0.7889908256880734,0.8363636363636363,1.0,0.40893470790378006,0.9915151515151515,0.0,0.0,0.9478787878787879,0.9999999999999999,0.5398773006134969,0.96,0.006060606060606061,0.006060606060606061
60,LOW,793,0.657258064516129,0.4697286012526096,0.21951219512195122,0.600896860986547,-0.0002274873379689243,1.6388888888888886,0.0,0.003658536585365854,3.45,0.3735408560311284,0.39344262295081966,1.0,0.20977011494252873,0.9659520807061791,0.0,0.0,0.6229508196721312,0.9999999999999999,0.2949640287769784,0.8953341740226987,0.012610340479192938,0.012610340479192938
60,MID,790,1.0384615384615385,0.7940856707979995,0.4724747474747475,0.6141953800490386,-0.0003839376566649293,1.822004608294931,0.0,0.007874579124579124,3.325,0.56875,0.6139240506329114,1.0,0.28902275769745644,0.9822784810126582,0.0012658227848101266,0.0012658227848101266,0.8253164556962025,1.0,0.41089650145772594,0.9493670886075949,0.0037974683544303796,0.0037974683544303796
