session_date,price,index,volume,is_major,basin_share,location
2026-03-25,23796.0,131,692.0,True,0.12040393242056929,0.04977203647416414
2026-03-25,23880.0,467,805.0,True,0.16973179436640107,0.17743161094224924
2026-03-25,24000.0,947,622.0,True,0.1189525670792479,0.3598024316109423
2026-03-25,24100.0,1347,1129.0,True,0.2775652696811265,0.5117781155015197
2026-03-25,24190.0,1707,774.0,True,0.31334643645265525,0.6485562310030395
2026-03-26,23255.0,90,315.0,False,0.04784167367726767,0.03026227303295225
2026-03-26,23335.0,410,892.0,True,0.2317095994054768,0.1378614660390047
2026-03-26,23500.0,1070,1269.0,True,0.3245547889824241,0.3597848016139879
2026-03-26,23600.0,1470,625.0,False,0.2203206282467562,0.49428379287155344
2026-03-26,23800.0,2270,501.0,False,0.1755733096880752,0.7632817753866846
2026-03-30,23245.0,1134,319.0,False,0.10547629829378176,0.27965474722564737
2026-03-30,23350.0,1554,641.0,True,0.2329089205555306,0.3832305795314427
2026-03-30,23550.0,2354,734.0,True,0.2558171475816903,0.580517879161529
2026-03-30,23800.0,3354,1023.0,True,0.24566578139682255,0.8271270036991368
2026-03-30,23909.0,3790,1091.0,True,0.1601318521721748,0.9346485819975339
2026-03-31,24076.0,784,694.0,True,0.258282835812948,0.41857981847303793
2026-03-31,24150.0,1080,1278.0,True,0.23811932679439254,0.5766150560597971
2026-03-31,24200.0,1280,1158.0,True,0.2556807491737576,0.6833956219967966
2026-03-31,24270.0,1560,594.0,False,0.13427193047849284,0.8328884143085958
2026-03-31,24320.0,1760,739.0,True,0.11364515774040902,0.9396689802455953
2026-04-01,23736.5,282,425.0,False,0.11568662002854675,0.11735330836454431
2026-04-01,23800.0,536,649.0,True,0.1500308375477982,0.22305451518934666
2026-04-01,23935.0,1076,380.0,False,0.16919945725915875,0.44777361631294216
2026-04-01,24150.0,1936,1281.0,True,0.42548414950043173,0.8056595921764461
2026-04-01,24212.0,2184,570.0,False,0.13959893566406456,0.9088639200998752
2026-04-06,24010.0,274,563.0,False,0.11483606514191179,0.13431372549019607
2026-04-06,24100.0,634,782.0,True,0.20038882829911328,0.3107843137254902
2026-04-06,24200.0,1034,1466.0,True,0.47968661914320787,0.5068627450980392
2026-04-06,24350.0,1634,788.0,True,0.20508848741576705,0.8009803921568628
2026-04-07,25080.0,2900,1998.0,True,0.7579025464292553,0.8037694013303769
2026-04-07,25185.0,3320,724.0,False,0.24209745357074478,0.9201773835920177
2026-04-08,24985.0,128,625.0,False,0.13434718482227942,0.10102604577742699
