horizon,test,mode,n,null_n,reject_n,observed_reject,mean_null_reject,mean_reject_minus_null,same_minute_n,delayed_n
session_end,C_delayed_decided,decided,26,26,18,0.6923076923076923,0.8027195469028624,-0.1104118545951701,,
session_end,D_no_touch_hit_unconditional,unconditional,26,26,18,0.6923076923076923,0.8027195469028624,-0.1104118545951701,,
session_end,same_minute_vs_delayed,count,26,8,18,,,,8.0,18.0
session_end,B_unconditional__lower_to_upper,slice,12,12,10,0.8333333333333334,0.8530339762433958,-0.019700642910062443,,
session_end,A_decided__lower_to_upper,slice,12,12,10,0.8333333333333334,0.8530339762433958,-0.019700642910062443,,
session_end,D_no_touch_hit_unconditional__lower_to_upper,slice,8,8,6,0.75,0.8212924101886427,-0.0712924101886428,,
session_end,B_unconditional__upper_to_lower,slice,22,22,16,0.7272727272727273,0.8244670146778236,-0.09719428740509627,,
session_end,A_decided__upper_to_lower,slice,22,22,16,0.7272727272727273,0.8244670146778236,-0.09719428740509627,,
session_end,D_no_touch_hit_unconditional__upper_to_lower,slice,18,18,12,0.6666666666666666,0.7944649409980712,-0.12779827433140445,,
session_end,B_unconditional__clean,slice,11,11,10,0.9090909090909091,0.8685856533142021,0.04050525577670708,,
session_end,A_decided__clean,slice,11,11,10,0.9090909090909091,0.8685856533142021,0.04050525577670708,,
session_end,D_no_touch_hit_unconditional__clean,slice,6,6,5,0.8333333333333334,0.8354667953858014,-0.002133462052467986,,
session_end,B_unconditional__both_regions_sized,slice,20,20,15,0.75,0.8429816713031288,-0.09298167130312891,,
session_end,A_decided__both_regions_sized,slice,20,20,15,0.75,0.8429816713031288,-0.09298167130312891,,
session_end,D_no_touch_hit_unconditional__both_regions_sized,slice,15,15,10,0.6666666666666666,0.8039856550971343,-0.13731898843046747,,
