shape,n,minimum,p10,p25,median,p75,p90,maximum,n_above_0.50,n_above_0.60,n_above_0.70,n_above_0.80
P,96,0.0,0.0,0.007361322188449843,0.16610899085287184,0.6179873048088946,0.8259364536394216,1.0,32,26,17,13
b,96,0.0,0.0,0.0,0.023264324359931674,0.29644716554450756,0.6102418553544027,1.0,11,11,6,3
D,96,0.0625,0.1985890655304369,0.28717451207792566,0.4286285289275603,0.5421893133396354,0.6420072979658146,0.7693763095731315,31,16,6,0
B,96,0.3222307934601009,0.5033587891546762,0.6065586995063058,0.7050220833741339,0.8012686358827833,0.8924389066214644,0.9994796869796869,86,72,49,25
