session_date,primary_class,n_local_maxima,n_major_peaks,n_regions,n_material_gaps,n_clean_gaps,n_weak_gaps,structure,clean_two,largest_region_share,second_region_share,second_peak_height_ratio,second_peak_basin_share,largest_minor_basin_share,median_gap_depth,lower_share,middle_share,upper_share,dominant_third,poc_location,vw_std_norm,poc_concentration_10,poc_price,weak_separation,weak_depth,weak_valley_price,weak_minor_peaks_between,weak_clean,strong_separation,strong_depth,strong_valley_price,strong_minor_peaks_between,strong_clean
2026-03-25,UNCLASSIFIED,5,5,1,0,0,4,one_region,False,1.0,0.0,0.7130203720106288,0.16973179436640107,0.0,,0.3320824123102507,0.49686248962979046,0.17105509805995883,middle,0.5117781155015197,0.2448042331760826,0.32769119696809407,24100.0,,,,0,False,,,,0,False
2026-03-26,B-like,5,2,2,1,1,0,two_regions,True,0.7148323724418877,0.28516762755811226,0.7029156816390859,0.2317095994054768,0.2203206282467562,1.0,0.36642397571031166,0.46307396835145187,0.17050205593823645,middle,0.3597848016139879,0.2380062878084357,0.365686272728429,23500.0,0.2219233355749832,1.0,23430.75,0,True,0.2219233355749832,1.0,23430.75,0,True
2026-03-30,UNCLASSIFIED,5,4,2,1,1,2,two_regions,True,0.5940541415262269,0.405945858473773,0.9376718606782768,0.24566578139682255,0.10547629829378176,1.0,0.10704421861677607,0.4845825701110599,0.408373211272164,middle,0.9346485819975339,0.23818321442285212,0.258245860241593,23909.0,0.2466091245376079,1.0,23671.75,0,True,0.2466091245376079,1.0,23671.75,0,True
2026-03-31,UNCLASSIFIED,5,4,2,1,0,2,two_regions,False,0.7882441062560127,0.21175589374398734,0.9061032863849765,0.2556807491737576,0.13427193047849284,0.8795669824086604,0.08696578238319896,0.49773160523541254,0.4153026123813885,middle,0.5766150560597971,0.19893752723277475,0.37344203168652845,24150.0,0.2562733582487987,0.8795669824086604,24247.5,1,False,0.2562733582487987,0.8795669824086604,24247.5,1,False
2026-04-01,B-like,5,2,2,1,0,0,two_regions,False,0.56328393451867,0.4367160654813301,0.5066354410616706,0.1500308375477982,0.16919945725915875,0.9938366718027735,0.264036370684946,0.1745475691201607,0.5614160601948933,upper,0.8056595921764461,0.281943028629712,0.47874323776630423,24150.0,0.5826050769870995,0.9938366718027735,24056.5,1,False,0.5826050769870995,0.9938366718027735,24056.5,1,False
2026-04-06,UNCLASSIFIED,4,3,2,1,1,1,two_regions,True,0.7853190095591347,0.21468099044086525,0.5375170532060027,0.20508848741576705,0.11483606514191179,0.8845177664974619,0.2563000194941017,0.5456539568635922,0.19804602364230606,middle,0.5068627450980392,0.20628582040290883,0.44770751120032737,24200.0,0.29411764705882354,0.8845177664974619,24266.75,0,True,0.29411764705882354,0.8845177664974619,24266.75,0,True
2026-04-07,P-like,2,1,1,0,0,0,one_region,False,1.0,0.0,0.36236236236236236,0.24209745357074478,0.24209745357074478,,0.025609483693917925,0.053786138234730996,0.9206043780713511,upper,0.8037694013303769,0.12708876912056952,0.715415789137788,25080.0,,,,0,False,,,,0,False
2026-04-08,UNCLASSIFIED,5,4,2,1,1,2,two_regions,True,0.5229718027497361,0.47702819725026396,0.798125,0.17497637378063005,0.13434718482227942,0.9741763134461264,0.419902173612182,0.18058142247634412,0.39951640391147386,lower,0.2462509865824783,0.29656265418431554,0.32595681245724545,25031.0,0.3914759273875296,0.9741763134461264,25112.75,0,True,0.3914759273875296,0.9741763134461264,25112.75,0,True
2026-04-09,UNCLASSIFIED,6,5,1,0,0,4,one_region,False,1.0,0.0,0.9347258485639687,0.19615391873785126,0.15146303949876389,,0.24510747513634906,0.5162227065994829,0.23866981826416803,middle,0.535,0.20381601947878264,0.2836508520636358,25300.0,,,,0,False,,,,0,False
2026-04-13,UNCLASSIFIED,7,5,2,1,0,3,two_regions,False,0.5080465799867335,0.4919534200132665,0.8539682539682539,0.17144721382832517,0.1015078666591519,0.9844760672703752,0.21819845051309955,0.31926843755012857,0.46253311193677193,upper,0.8195149464184998,0.2885348337306978,0.3029498346028952,25923.25,0.29723632261703326,0.9844760672703752,25831.25,1,False,0.29723632261703326,0.9844760672703752,25831.25,1,False
2026-04-14,UNCLASSIFIED,6,4,3,2,0,1,many_regions,False,0.4506698978296738,0.3486423562634852,0.8069395017793595,0.19703483944663028,0.13301775288742226,0.9753739126575537,0.3466453547404493,0.40791582053560094,0.24543882472394973,middle,0.14704225352112676,0.27018109395251305,0.2758281507805559,25999.0,0.3290140845070422,0.9580152671755725,26084.5,1,False,0.3267605633802817,0.9927325581395349,26261.75,1,False
2026-04-15,UNCLASSIFIED,4,4,1,0,0,3,one_region,False,1.0,0.0,0.893159977388355,0.3235723932541469,0.0,,0.16467950271842643,0.5303043945008138,0.3050161027807598,middle,0.6048526863084922,0.2003853796038063,0.363548845101638,26450.0,,,,0,False,,,,0,False
2026-04-16,UNCLASSIFIED,4,2,1,0,0,1,one_region,False,1.0,0.0,0.6328125,0.2912391001660191,0.21598625148721892,,0.11085682695724879,0.20712903652249157,0.6820141365202597,upper,0.8768971332209107,0.23979652039065033,0.47911541162271254,26830.0,,,,0,False,,,,0,False
