n,ic,n_early,ic_early,n_late,ic_late,n_daily,ic_daily_median,n_pos,n_neg,median_pos,mean_pos,median_neg,mean_neg,n_sign,sign_pct,family,feature,window_s,horizon_s,signed
232314,-0.0013813629933486185,115975,-0.0011464735982188797,116339,-0.0016676254365833576,26,-0.0012644156276490869,106245.0,106185.0,0.0,-0.0016847851663607698,0.125,-0.007285633564062721,210815.0,0.49906315964234044,trade,count_imbalance,1,15,True
231929,-0.0011935575575026398,115784,0.000972238285760322,116145,-0.0036300323950774946,26,-0.0015288602335681478,106087.0,105999.0,0.125,-0.03314143108957742,0.125,-0.0061828413475598825,211012.0,0.5003601690899095,trade,count_imbalance,1,30,True
231162,-0.0021450369776978154,115400,0.00010423628393890739,115762,-0.004814837680444005,26,-0.002068275122385984,105760.0,105660.0,0.25,-0.09324768343419063,0.375,-0.0024690043535869773,210641.0,0.4993709676653643,trade,count_imbalance,1,60,True
233917,0.007694546540490781,116950,0.009004402217811684,116967,0.006506362364069023,26,0.007168013576508181,60113.0,60102.0,0.0,0.019199258063979506,0.0,-0.019387873947622376,115701.0,0.5062618300619701,book_change,depth_bid_change,1,1,True
233801,0.003350427462895878,116890,0.0033215666969039492,116911,0.003392858417331762,26,0.0032927259649267156,60078.0,60064.0,0.0,0.03155481207763241,0.0,-0.0116105320990943,118375.0,0.5032059134107708,book_change,depth_bid_change,1,5,True
233531,0.002455572109420794,116750,0.002725990016738803,116781,0.0022299537542025847,26,0.0019077969248612891,59999.0,59994.0,0.125,0.047634127235453926,0.125,0.016870437043704372,118968.0,0.5017735861744335,book_change,depth_bid_change,1,15,True
233141,0.0013138263310767627,116555,0.0019174829250212175,116586,0.0007880836251750647,26,0.001012870150617644,59885.0,59869.0,0.125,0.023966769641813476,0.125,-0.032915615761078355,119093.0,0.5002141183780743,book_change,depth_bid_change,1,30,True
232361,0.0019325589712247322,116165,0.0027407318649438294,116196,0.0011703257115129788,26,0.0016017146442783372,59646.0,59623.0,0.375,0.03102890386614358,0.25,-0.07592917162839843,118771.0,0.5017049616488873,book_change,depth_bid_change,1,60,True
233917,-0.007232137182545278,116950,-0.006631890150389399,116967,-0.00784641695781218,26,-0.007667151395057555,60367.0,60411.0,0.0,-0.022344575678764887,0.0,0.0114879740444621,116267.0,0.49421589961037954,book_change,depth_ask_change,1,1,True
233801,-0.002286493809572696,116890,-0.0030257057086897285,116911,-0.001595466458646905,26,-0.002028519775358292,60333.0,60376.0,0.0,-0.03242214045381466,0.0,-0.0031490161653637207,118936.0,0.4978139503598574,book_change,depth_ask_change,1,5,True
233531,-0.0016648025362524142,116750,-0.001987062433976727,116781,-0.0013939224089929995,26,-0.001969322146829101,60250.0,60300.0,0.0,-0.04242946058091286,0.125,-0.0051036484245439466,119529.0,0.49843134302135883,book_change,depth_ask_change,1,15,True
233141,-0.0008466224324397254,116555,-0.0011395440521772531,116586,-0.0006036998868775403,26,9.91884506958018e-05,60138.0,60184.0,0.0,-0.06727859257042136,0.125,-0.04299938521866277,119694.0,0.49902250739385434,book_change,depth_ask_change,1,30,True
232361,-0.0008084280235545698,116165,-0.0004142491830386963,116196,-0.0012024390981328933,26,-0.0013194989087350127,59920.0,59973.0,0.25,-0.13666972630173566,0.25,-0.10469711370116552,119418.0,0.5000418697348809,book_change,depth_ask_change,1,60,True
233917,0.010692417997626092,116950,0.011385035779429372,116967,0.010119629656617887,26,0.012634543334425945,79512.0,79822.0,0.0,0.015555828051111782,0.0,-0.02874364210368069,153529.0,0.5070768389033994,book_change,depth_net_change,1,1,True
233801,0.003962839548481844,116890,0.004122434041635417,116911,0.003762083732007696,26,0.0035383754291794254,79473.0,79770.0,0.0,0.012444477998817208,0.0,-0.034298608499435876,156944.0,0.5030520440411866,book_change,depth_net_change,1,5,True
233531,0.002973397777510634,116750,0.003156537724460074,116781,0.0028443991745986373,26,0.003153299370273296,79373.0,79678.0,0.125,0.00897502929207665,0.0,-0.0295737217299631,157726.0,0.5017371898101771,book_change,depth_net_change,1,15,True
233141,0.0010192450499902708,116555,0.001348388121177087,116586,0.0007768273626115277,26,0.0007986579707932142,79229.0,79539.0,0.125,-0.0488078860013379,0.125,-0.047938747029758984,157899.0,0.49993350179545154,book_change,depth_net_change,1,30,True
232361,0.001417901669252447,116165,0.0016343655334226106,116196,0.0012726699035681811,26,0.001323970404964521,78955.0,79236.0,0.375,-0.06115508834146033,0.25,-0.11136983189459336,157554.0,0.5009139723523364,book_change,depth_net_change,1,60,True
233946,-0.004520341408148797,116965,0.0022660549776834823,116981,-0.011080620500053049,26,-0.0014732902789054924,111485.0,119945.0,0.0,0.008959725523613042,0.0,-0.007630580682812956,223373.0,0.4962551427433038,order_flow,add_signed,1,1,True
233830,0.001386589686032361,116905,0.005859668171230302,116925,-0.0029541661405260507,26,0.005692254030189959,111440.0,119875.0,0.0,0.00041502153625269206,0.0,0.002359749739311783,228126.0,0.4994345230267484,order_flow,add_signed,1,5,True
