split,band,horizon_min,mean_long_return_pts,mean_long_return_pts,positive_rate,positive_rate,return_diff_break_minus_control,positive_rate_diff_break_minus_control
,,,break,control,break,control,,
IS,0.5-1.0,1,0.1426553672316384,-0.006057494866529774,0.4350282485875706,0.4188911704312115,0.14871286209816817,0.01613707815635912
IS,0.5-1.0,5,0.014124293785310734,-0.006160164271047228,0.4477401129943503,0.433264887063655,0.02028445805635796,0.014475225930695279
IS,0.5-1.0,15,0.1497175141242938,-0.11498973305954825,0.4731638418079096,0.4562628336755647,0.26470724718384203,0.016901008132344908
IS,0.5-1.0,30,0.6419491525423728,-0.04240246406570842,0.4887005649717514,0.46406570841889117,0.6843516166080813,0.02463485655286024
IS,0.5-1.0,60,-0.15112994350282485,0.08870636550308009,0.5155367231638418,0.4944558521560575,-0.23983630900590494,0.02108087100778433
IS,1.0-1.5,1,-0.11813186813186813,-0.08986453797774553,0.46813186813186813,0.4228350266086115,-0.028267330154122597,0.04529684152325664
IS,1.0-1.5,5,-0.34505494505494505,-0.1625544267053701,0.42417582417582417,0.4436381228834059,-0.18250051834957495,-0.01946229870758176
IS,1.0-1.5,15,-0.38571428571428573,0.2156507014997581,0.43736263736263736,0.4746008708272859,-0.6013649872140439,-0.03723823346464855
IS,1.0-1.5,30,0.34725274725274724,-0.1802128688921142,0.4901098901098901,0.4765360425737784,0.5274656161448614,0.013573847536111683
IS,1.0-1.5,60,1.1324175824175824,-0.47750362844702465,0.4989010989010989,0.5007256894049347,1.609921210864607,-0.0018245905038357657
IS,1.5+,1,-0.017958412098298678,-0.07459831675592961,0.4499054820415879,0.4560061208875287,0.05663990465763093,-0.0061006388459407535
IS,1.5+,5,0.06049149338374291,-0.023335883703136953,0.43856332703213613,0.44223412394797246,0.08382737708687987,-0.0036707969158363274
IS,1.5+,15,0.9640831758034026,0.5030604437643458,0.4877126654064272,0.47589900535577656,0.46102273203905686,0.011813660050650654
IS,1.5+,30,0.6091682419659735,0.6228003060443764,0.4669187145557656,0.5019127773527161,-0.013632064078402895,-0.0349940627969505
IS,1.5+,60,0.6479206049149339,0.9984697781178271,0.4952741020793951,0.5103289977046672,-0.35054917320289325,-0.015054895625272124
IS,<0.5,1,0.11222044728434505,0.05994897959183673,0.4073482428115016,0.38657770800627944,0.05227146769250832,0.020770534805222174
IS,<0.5,5,-0.03394568690095846,0.03738226059654631,0.43929712460063897,0.4521193092621664,-0.07132794749750478,-0.012822184661527458
IS,<0.5,15,0.13777955271565495,-0.0016679748822605966,0.46166134185303515,0.46781789638932497,0.13944752759791554,-0.006156554536289827
IS,<0.5,30,-0.06669329073482429,0.07280219780219781,0.4440894568690096,0.49607535321821034,-0.1394954885370221,-0.051985896349200755
IS,<0.5,60,0.3446485623003195,0.497350863422292,0.45686900958466453,0.5090266875981162,-0.15270230112197253,-0.05215767801345167
OOS,0.5-1.0,1,0.1650326797385621,-0.5730676328502415,0.49019607843137253,0.4613526570048309,0.7381003125888036,0.028843421426541616
OOS,0.5-1.0,5,0.24509803921568626,-0.11292270531400966,0.45098039215686275,0.4492753623188406,0.3580207445296959,0.0017050298380221762
OOS,0.5-1.0,15,0.6225490196078431,-0.5809178743961353,0.43790849673202614,0.49033816425120774,1.2034668940039785,-0.0524296675191816
OOS,0.5-1.0,30,3.264705882352941,-0.37379227053140096,0.5098039215686274,0.49033816425120774,3.638498152884342,0.019465757317419674
OOS,0.5-1.0,60,5.138888888888889,-0.767512077294686,0.5555555555555556,0.4806763285024155,5.9064009661835755,0.0748792270531401
OOS,1.0-1.5,1,-0.7467105263157895,1.1932397959183674,0.4342105263157895,0.5255102040816326,-1.9399503222341568,-0.09129967776584313
OOS,1.0-1.5,5,-4.467105263157895,0.9521683673469388,0.4473684210526316,0.5153061224489796,-5.419273630504834,-0.06793770139634797
OOS,1.0-1.5,15,-2.125,1.5471938775510203,0.4342105263157895,0.5255102040816326,-3.6721938775510203,-0.09129967776584313
