split,event_type,band,horizon_min,events,mean_long_return_pts,median_long_return_pts,positive_rate,mfe_pts,mae_pts,retention_rate,time_to_fail_min,fraction_below_60,max_extension_60_pts
Validation,control,0.5-1.0,60,775,0.35838709677419356,0.75,0.5174193548387097,15.019032258064517,-15.57,0.09161290322580645,1.0752269779507133,0.9368387096774193,-37.44516129032258
Validation,control,1.0-1.5,1,711,0.39732770745428975,0.0,0.46272855133614627,3.938818565400844,-3.630450070323488,0.029535864978902954,1.3687943262411348,0.8631270511017346,-17.226441631504922
Validation,control,1.0-1.5,5,711,-0.1670182841068917,-0.25,0.4767932489451477,7.591420534458509,-7.315400843881856,0.06469760900140648,1.3687943262411348,0.8631270511017346,-17.226441631504922
Validation,control,1.0-1.5,15,711,-0.3990857946554149,0.0,0.49226441631504925,12.178270042194093,-12.328059071729959,0.09985935302390998,1.3687943262411348,0.8631270511017346,-17.226441631504922
Validation,control,1.0-1.5,30,711,0.2570323488045007,1.25,0.5274261603375527,17.567158931082982,-17.459212376933895,0.14486638537271448,1.3687943262411348,0.8631270511017346,-17.226441631504922
Validation,control,1.0-1.5,60,711,1.2327707454289734,1.75,0.5316455696202531,25.693037974683545,-24.372714486638536,0.1828410689170183,1.3687943262411348,0.8631270511017346,-17.226441631504922
Validation,control,1.5+,1,518,0.35955598455598453,-0.25,0.48455598455598453,6.128861003861004,-5.632239382239383,0.06563706563706563,1.5856031128404668,0.8271879021879022,-6.273166023166024
Validation,control,1.5+,5,518,0.19015444015444016,-0.25,0.48455598455598453,11.765444015444016,-11.24034749034749,0.08301158301158301,1.5856031128404668,0.8271879021879022,-6.273166023166024
Validation,control,1.5+,15,518,-0.4391891891891892,-0.75,0.4826254826254826,17.741795366795365,-18.240830115830114,0.14478764478764478,1.5856031128404668,0.8271879021879022,-6.273166023166024
Validation,control,1.5+,30,518,0.6443050193050193,1.25,0.5366795366795367,24.43822393822394,-25.098455598455597,0.16795366795366795,1.5856031128404668,0.8271879021879022,-6.273166023166024
Validation,control,1.5+,60,518,-2.1423745173745172,-1.125,0.4749034749034749,34.56515444015444,-37.35762548262548,0.23166023166023167,1.5856031128404668,0.8271879021879022,-6.273166023166024
Validation,control,<0.5,1,775,0.3093548387096774,0.0,0.4967741935483871,2.3574193548387097,-1.8070967741935484,0.005161290322580645,1.0775193798449612,0.9649677419354838,-67.0158064516129
Validation,control,<0.5,5,775,0.08516129032258064,0.0,0.48258064516129034,4.49258064516129,-4.249677419354839,0.01032258064516129,1.0775193798449612,0.9649677419354838,-67.0158064516129
Validation,control,<0.5,15,775,0.02935483870967742,0.5,0.5212903225806451,6.961290322580645,-6.948387096774193,0.024516129032258065,1.0775193798449612,0.9649677419354838,-67.0158064516129
Validation,control,<0.5,30,775,0.3725806451612903,0.5,0.5161290322580645,10.03774193548387,-10.023870967741935,0.03483870967741935,1.0775193798449612,0.9649677419354838,-67.0158064516129
Validation,control,<0.5,60,775,-0.11645161290322581,0.0,0.49548387096774194,14.477096774193548,-15.019677419354839,0.0567741935483871,1.0775193798449612,0.9649677419354838,-67.0158064516129
