session,T_offset,horizon,tier,HIGH_loc_IS_n,HIGH_loc_IS_win,ALL_loc_IS_win,HIGH_long_IS_win,lift_win_IS,lift_E_IS,lift_win_Val,lift_win_OOS,HIGH_loc_OOS_win,ALL_loc_OOS_win,year_ok
LONDON,15,90,soft,809,0.5216316440049443,0.506953223767383,0.5241038318912238,0.014678420237561274,0.5420863161327187,0.015230413327821102,0.011141235279166217,0.5344827586206896,0.5233415233415234,False
LONDON,60,120,soft,801,0.484394506866417,0.4873310810810811,0.5318352059925093,-0.0029365742146640894,0.5882820144582784,0.014232704722208112,0.09211822660098523,0.6142857142857143,0.5221674876847291,False
NY_AM,15,60,strong,803,0.5379825653798257,0.5200675961132235,0.523038605230386,0.017914969266602188,1.3480932824257996,0.008405054019410385,0.021763834842797536,0.5352112676056338,0.5134474327628362,True
NY_AM,15,90,strong,803,0.5217932752179327,0.5092983939137785,0.5330012453300125,0.012494881304154215,1.1697080580115353,0.0078068729780870205,0.03428148352215982,0.528169014084507,0.4938875305623472,True
NY_AM,15,120,soft,803,0.5442092154420921,0.5220713073005093,0.547945205479452,0.022137908141582785,0.8964223455336208,0.011743880852102762,0.028806088363924398,0.5422535211267606,0.5134474327628362,True
