session,entry_mode,horizon,split,regime,n,mean_resid,median_resid,p_struct,mean_pre_exc,mean_pre_psr,cover_tight,mean_net_tight,mean_netR_tight,p_net_pos_tight,breakeven_pts,cover_mid,mean_net_mid,mean_netR_mid,p_net_pos_mid,cover_wide,mean_net_wide,mean_netR_wide,p_net_pos_wide
LONDON,delay1,30,OOS,LOW,1039,38.57338787295476,31.5,0.18864292589027912,25.162415784408086,0.10435733516851088,1.0,38.07338787295476,76.14677574590952,1.0,2.0,1.0,37.57338787295476,37.57338787295476,1.0,1.0,36.57338787295476,18.28669393647738,1.0
LONDON,delay1,30,OOS,ALL,2065,37.67324455205811,30.0,0.32397094430992734,36.505690072639226,0.22324468589270588,1.0,37.17324455205811,74.34648910411622,1.0,2.0,1.0,36.67324455205811,36.67324455205811,1.0,1.0,35.67324455205811,17.836622276029054,1.0
LONDON,delay1,30,Y2025,HIGH,273,35.98351648351648,27.25,0.6483516483516484,57.74908424908425,0.5276560066384633,1.0,35.48351648351648,70.96703296703296,1.0,2.0,1.0,34.98351648351648,34.98351648351648,1.0,1.0,33.98351648351648,16.99175824175824,1.0
LONDON,delay1,30,Y2025,LOW,594,33.96043771043771,27.875,0.21548821548821548,22.227272727272727,0.10935783095166286,1.0,33.46043771043771,66.92087542087542,1.0,2.0,1.0,32.96043771043771,32.96043771043771,1.0,1.0,31.96043771043771,15.980218855218855,1.0
LONDON,delay1,30,Y2025,ALL,1285,33.0,26.5,0.3556420233463035,32.907003891050586,0.2364180645807905,1.0,32.5,65.0,1.0,2.0,1.0,32.0,32.0,1.0,1.0,31.0,15.5,1.0
LONDON,delay1,30,Y2026,HIGH,103,45.577669902912625,39.0,0.6116504854368932,81.27184466019418,0.5607938029984626,1.0,45.077669902912625,90.15533980582525,1.0,2.0,1.0,44.577669902912625,44.577669902912625,1.0,1.0,43.577669902912625,21.788834951456312,1.0
LONDON,delay1,30,Y2026,LOW,445,44.730898876404495,37.5,0.15280898876404495,29.080337078651684,0.09768251607819117,1.0,44.230898876404495,88.46179775280899,1.0,2.0,1.0,43.730898876404495,43.730898876404495,1.0,1.0,42.730898876404495,21.365449438202248,1.0
LONDON,delay1,30,Y2026,ALL,780,45.372115384615384,38.25,0.2717948717948718,42.43429487179487,0.20154238895143828,1.0,44.872115384615384,89.74423076923077,1.0,2.0,1.0,44.372115384615384,44.372115384615384,1.0,1.0,43.372115384615384,21.686057692307692,1.0
LONDON,delay1,45,IS,HIGH,4092,10.966581133919844,6.75,0.8071847507331378,13.809995112414468,0.5202327210807925,1.0,10.466581133919844,20.933162267839688,1.0,2.0,1.0,9.966581133919844,9.966581133919844,0.9958455522971652,0.9525904203323559,8.966581133919844,4.483290566959922,0.9310850439882697
LONDON,delay1,45,IS,LOW,3970,12.654471032745592,7.5,0.307808564231738,6.746347607052897,0.10524054359893996,0.998992443324937,12.154471032745592,24.308942065491184,0.9984886649874055,2.0,0.9972292191435769,11.654471032745592,11.654471032745592,0.9947103274559194,0.9619647355163728,10.654471032745592,5.327235516372796,0.9438287153652393
