session,verdict,OOS_mean_resid,OOS_mean_net_mid,OOS_cover_mid,OOS_cover_lift_vs_LOW,OOS_mean_pre_exc
LONDON,NO_EDGE_VS_LOW,38.954787234042556,37.954787234042556,1.0,0.0,64.19281914893617
NY_PM,NO_EDGE_VS_LOW,70.8061224489796,69.8061224489796,1.0,0.0,88.18367346938776
NY_AM,NO_EDGE_VS_LOW,98.38103448275862,97.38103448275862,1.0,0.0,136.21508620689656
ASIA,NO_EDGE_VS_LOW,42.368011182108624,41.368011182108624,1.0,0.0,64.22024760383387
