candidate,eligible,gate,required_win_rate,max_stop_dollars,train_n,inner_n,n,net_dollars,win_rate,payoff,profit_factor,trades_per_month,largest_day_dollars,largest_day_pct
skip_if_original_stop_over_200,True,pass,0.36787368756605987,199.75,387,161,548,2968.0,0.41058394160583944,1.7555742493281925,1.2229232386961093,4.2153846153846155,335.0,0.11287061994609164
hard_150_2r,True,pass,0.43030134917063845,150.0,387,167,554,3171.5,0.4657039711191336,1.3659013467618288,1.190549146839702,4.2615384615384615,298.0,0.09396184770613275
hard_200_1p5r,True,pass,0.44605134985315187,200.0,387,167,554,2088.0,0.4675090252707581,1.2722449029038003,1.1169878978036756,4.2615384615384615,298.0,0.14272030651340997
hard_200_2r,True,pass,0.44371582846220015,200.0,387,167,554,2030.5,0.463898916967509,1.2842049823866646,1.1112480824019286,4.2615384615384615,398.0,0.19601083476976114
hard_150_1r,True,pass,0.45999068642485846,150.0,387,167,554,1556.5,0.4747292418772563,1.2131981615296221,1.0964643178085587,4.2615384615384615,148.0,0.09508512688724703
