group,period,n,avg_net_points,avg_net_dollars
retained,Inner Validation,161,7.760093167701863,15.520186335403727
retained,OOS,40,-12.034375,-24.06875
retained,Train,387,0.6062661498708011,1.2125322997416021
retained,Validation,152,3.7565789473684212,7.5131578947368425
excluded,Inner Validation,6,93.10416666666667,186.20833333333334
excluded,OOS,29,58.91379310344828,117.82758620689656
excluded,Validation,12,90.4375,180.875
