session_date,period,direction,max_t_5m,r1,r2,r3,r4,r5,decay_r5_minus_r1,pre_failure_giveback
2010-06-07,Train,downside_failure,6.0,0.36363636363636365,-0.22077922077922077,0.025974025974025976,0.22077922077922077,-0.012987012987012988,-0.37662337662337664,0.8833333333333333
2010-06-21,Train,downside_failure,3.0,0.1346153846153846,0.11538461538461539,-0.11538461538461539,-0.0,-0.038461538461538464,-0.17307692307692307,0.7391304347826086
2010-06-28,Train,upside_failure,8.0,0.022727272727272728,0.011363636363636364,-0.056818181818181816,-0.022727272727272728,0.20454545454545456,0.18181818181818182,0.696969696969697
2010-07-06,Train,downside_failure,0.0,-0.10294117647058823,0.4264705882352941,0.07352941176470588,-0.0,0.04411764705882353,0.14705882352941177,0.22222222222222232
2010-07-12,Train,downside_failure,1.0,-0.13414634146341464,0.012195121951219513,0.06097560975609756,0.024390243902439025,-0.06097560975609756,0.07317073170731708,0.7999999999999999
2010-07-19,Train,downside_failure,2.0,0.1125,-0.125,-0.2375,-0.0125,-0.05,-0.1625,0.8260869565217391
2010-07-26,Train,upside_failure,0.0,-0.13114754098360656,0.09836065573770492,-0.03278688524590164,0.08196721311475409,0.06557377049180328,0.19672131147540983,0.2999999999999996
2010-08-16,Train,upside_failure,2.0,0.0761904761904762,-0.01904761904761905,-0.047619047619047616,-0.0380952380952381,0.047619047619047616,-0.02857142857142858,0.5625
2010-08-30,Train,downside_failure,1.0,-0.12698412698412698,-0.047619047619047616,0.15873015873015872,0.015873015873015872,-0.015873015873015872,0.1111111111111111,0.3999999999999996
2010-09-13,Train,upside_failure,1.0,0.12244897959183673,-0.16326530612244897,-0.02040816326530612,0.02040816326530612,-0.02040816326530612,-0.14285714285714285,0.46153846153846156
2010-09-27,Train,downside_failure,1.0,0.027777777777777776,-0.1111111111111111,-0.0,-0.1111111111111111,0.19444444444444445,0.16666666666666669,0.7142857142857142
2010-11-01,Train,downside_failure,7.0,0.08064516129032258,0.03225806451612903,0.12903225806451613,0.20967741935483872,0.016129032258064516,-0.06451612903225806,0.9545454545454546
2010-11-08,Train,upside_failure,1.0,-0.08928571428571429,-0.10714285714285714,-0.017857142857142856,-0.07142857142857142,0.10714285714285714,0.19642857142857142,0.8333333333333333
2010-12-06,Train,downside_failure,0.0,-0.2571428571428571,0.11428571428571428,0.05714285714285714,-0.17142857142857143,-0.08571428571428572,0.1714285714285714,0.33333333333333326
2011-01-03,Train,upside_failure,1.0,-0.037037037037037035,-0.027777777777777776,-0.027777777777777776,-0.009259259259259259,0.10185185185185185,0.1388888888888889,0.49999999999999956
2011-01-10,Train,upside_failure,2.0,0.0625,0.08333333333333333,-0.2708333333333333,0.10416666666666667,0.0,-0.0625,0.19999999999999984
2011-01-18,Train,upside_failure,1.0,0.0,-0.05263157894736842,-0.02631578947368421,0.013157894736842105,0.05263157894736842,0.05263157894736842,0.7777777777777777
2011-01-31,Train,upside_failure,5.0,0.1125,0.1,0.2125,0.0,0.0875,-0.02500000000000001,0.9333333333333333
2011-02-07,Train,upside_failure,22.0,0.21052631578947367,-0.017543859649122806,0.10526315789473684,-0.017543859649122806,-0.07017543859649122,-0.2807017543859649,0.7714285714285715
2011-03-14,Train,downside_failure,1.0,-0.20833333333333334,0.1111111111111111,0.2916666666666667,0.08333333333333333,-0.1388888888888889,0.06944444444444445,0.23529411764705876
2011-03-21,Train,upside_failure,1.0,0.037037037037037035,-0.04938271604938271,0.08641975308641975,-0.1111111111111111,-0.06172839506172839,-0.09876543209876543,0.9444444444444444
2011-03-22,Train,downside_failure,1.0,-0.14285714285714285,-0.16666666666666666,-0.11904761904761904,0.19047619047619047,-0.023809523809523808,0.11904761904761904,0.24999999999999978
2011-03-25,Train,upside_failure,15.0,-0.0625,0.4375,0.03125,0.375,0.0,0.0625,0.8095238095238095
2011-03-28,Train,downside_failure,1.0,-0.08888888888888889,-0.13333333333333333,-0.044444444444444446,-0.08888888888888889,0.08888888888888889,0.17777777777777778,0.7222222222222223
2011-04-04,Train,downside_failure,0.0,-0.05333333333333334,-0.04,-0.013333333333333334,0.013333333333333334,0.02666666666666667,0.08,0.7499999999999998
2011-04-11,Train,downside_failure,1.0,0.05813953488372093,-0.046511627906976744,0.046511627906976744,-0.12790697674418605,-0.046511627906976744,-0.10465116279069767,0.3999999999999997
2011-04-14,Train,upside_failure,0.0,-0.24242424242424243,0.06060606060606061,-0.030303030303030304,-0.030303030303030304,0.06060606060606061,0.30303030303030304,0.857142857142857
2011-04-19,Train,downside_failure,1.0,-0.07894736842105263,-0.07894736842105263,0.2631578947368421,-0.02631578947368421,0.2631578947368421,0.3421052631578947,0.6666666666666665
2011-04-25,Train,downside_failure,1.0,-0.0,-0.08823529411764706,0.029411764705882353,-0.08823529411764706,-0.0,0.0,0.6666666666666664
2011-05-02,Train,upside_failure,3.0,-0.02127659574468085,-0.0851063829787234,0.0851063829787234,-0.06382978723404255,-0.1276595744680851,-0.10638297872340424,0.8181818181818181
2011-05-05,Train,upside_failure,4.0,0.17391304347826086,0.0,0.028985507246376812,0.34782608695652173,-0.14492753623188406,-0.3188405797101449,0.875
2011-05-06,Train,upside_failure,7.0,0.20689655172413793,0.034482758620689655,-0.05172413793103448,0.0,-0.05172413793103448,-0.25862068965517243,0.7741935483870968
2011-05-24,Train,downside_failure,0.0,-0.09523809523809523,-0.023809523809523808,-0.0,0.047619047619047616,-0.23809523809523808,-0.14285714285714285,0.5384615384615384
