stop_rule,target_r,split,trades,avg_net_points,win_rate,profit_factor,median_risk_points,max_risk_points,target_rate,stop_rate
opposite_ib,0.75,IS,2118,0.5658640226628895,0.5169971671388102,1.0396657289425781,35.25,517.0,0.28800755429650615,0.1732766761095373
opposite_ib,1.0,IS,2118,0.4555004721435316,0.49291784702549574,1.0307725431405697,35.25,517.0,0.17280453257790368,0.17988668555240794
opposite_ib,1.5,IS,2118,0.38485599622285177,0.47780925401322,1.0254279586664068,35.25,517.0,0.0679886685552408,0.18602455146364494
opposite_ib,2.0,IS,2118,0.21093012275731823,0.47592067988668557,1.0138443421806969,35.25,517.0,0.030217186024551465,0.18744098205854579
0.25x_ib_width,0.75,IS,2118,-0.6278623701605288,0.5915958451369216,0.8843949165711306,8.0625,122.5,0.5878186968838527,0.3980169971671388
0.25x_ib_width,1.0,IS,2118,-0.3177230878186969,0.5254957507082153,0.94888095486787,8.0625,122.5,0.5165250236071766,0.46222851746931065
0.25x_ib_width,1.5,IS,2118,0.27607117563739375,0.437204910292729,1.038133261595275,8.0625,122.5,0.4140698772426818,0.5439093484419264
0.25x_ib_width,2.0,IS,2118,0.19048040604343722,0.3810198300283286,1.0238106655551333,8.0625,122.5,0.3290840415486308,0.5967894239848914
0.50x_ib_width,0.75,IS,2118,0.5718100802644004,0.5731822474032106,1.0611833463840965,16.125,245.0,0.5335221907459868,0.3616619452313503
0.50x_ib_width,1.0,IS,2118,0.14028564683663833,0.506137865911237,1.0129029806590997,16.125,245.0,0.4235127478753541,0.4145420207743154
0.50x_ib_width,1.5,IS,2118,0.5503423040604344,0.4414542020774315,1.0455146696342719,16.125,245.0,0.2804532577903683,0.45986779981114256
0.50x_ib_width,2.0,IS,2118,0.7806303116147308,0.4202077431539188,1.0626560242533336,16.125,245.0,0.18413597733711048,0.4749763928234183
0.75x_ib_width,0.75,IS,2118,0.1608165132200189,0.5415486307837583,1.0129646370329841,24.1875,367.5,0.4169027384324835,0.28800755429650615
0.75x_ib_width,1.0,IS,2118,0.6760505193578848,0.4995278564683664,1.0507312968478393,24.1875,367.5,0.31067044381491976,0.3101983002832861
0.75x_ib_width,1.5,IS,2118,0.8795001180358829,0.4660056657223796,1.063232339519125,24.1875,367.5,0.16572237960339944,0.3271954674220963
0.75x_ib_width,2.0,IS,2118,1.0494275259678942,0.45561850802644005,1.074518530625245,24.1875,367.5,0.08923512747875353,0.3319169027384325
1.00x_ib_width,0.75,IS,2118,0.6250590179414542,0.5207743153918791,1.0454849986686479,32.25,490.0,0.31869688385269124,0.20066100094428707
1.00x_ib_width,1.0,IS,2118,1.007318224740321,0.4985835694050991,1.0712324193481073,32.25,490.0,0.2101038715769594,0.20538243626062322
1.00x_ib_width,1.5,IS,2118,1.004131255901794,0.4773371104815864,1.0690066354093999,32.25,490.0,0.09159584513692162,0.21435316336166194
1.00x_ib_width,2.0,IS,2118,0.7580264400377715,0.4726156751652502,1.0515471364931572,32.25,490.0,0.04296506137865911,0.21765816808309726
opposite_ib,0.75,Validation,695,4.44910071942446,0.5697841726618705,1.1158782802589542,139.5,632.75,0.3035971223021583,0.1683453237410072
opposite_ib,1.0,Validation,695,4.530935251798561,0.5510791366906475,1.1131980516562718,139.5,632.75,0.19424460431654678,0.17841726618705037
opposite_ib,1.5,Validation,695,6.3390287769784175,0.5424460431654676,1.156151699082894,139.5,632.75,0.07625899280575539,0.1841726618705036
opposite_ib,2.0,Validation,695,6.733453237410072,0.5410071942446043,1.1653461236098965,139.5,632.75,0.031654676258992806,0.1856115107913669
0.25x_ib_width,0.75,Validation,695,0.7284397482014389,0.5942446043165468,1.0515663594000662,32.0,150.8125,0.5884892086330935,0.3971223021582734
0.25x_ib_width,1.0,Validation,695,1.397931654676259,0.5352517985611511,1.0854214748873503,32.0,150.8125,0.5280575539568345,0.4546762589928058
0.25x_ib_width,1.5,Validation,695,2.5261690647482014,0.4503597122302158,1.1309438905126161,32.0,150.8125,0.42589928057553955,0.5338129496402878
0.25x_ib_width,2.0,Validation,695,3.1651079136690647,0.3856115107913669,1.149529692664565,32.0,150.8125,0.33093525179856115,0.5971223021582733
0.50x_ib_width,0.75,Validation,695,3.799325539568345,0.60431654676259,1.1523544557597438,64.0,301.625,0.5582733812949641,0.3424460431654676
0.50x_ib_width,1.0,Validation,695,4.707014388489209,0.5453237410071943,1.1677993921752177,64.0,301.625,0.45179856115107914,0.39136690647482014
0.50x_ib_width,1.5,Validation,695,4.0254496402877695,0.46906474820143884,1.1251299855757941,64.0,301.625,0.2920863309352518,0.45323741007194246
0.50x_ib_width,2.0,Validation,695,3.7021582733812948,0.44316546762589926,1.1108096468561586,64.0,301.625,0.1841726618705036,0.47050359712230216
0.75x_ib_width,0.75,Validation,695,3.2875,0.5870503597122302,1.097159912400068,96.0,452.4375,0.4503597122302158,0.28633093525179854
0.75x_ib_width,1.0,Validation,695,3.091906474820144,0.5424460431654676,1.0838364528368136,96.0,452.4375,0.32661870503597124,0.3107913669064748
0.75x_ib_width,1.5,Validation,695,2.8450089928057554,0.5107913669064749,1.073067222815016,96.0,452.4375,0.16546762589928057,0.33237410071942447
0.75x_ib_width,2.0,Validation,695,5.832823741007195,0.5050359712230216,1.1487299902086452,96.0,452.4375,0.10503597122302158,0.3381294964028777
1.00x_ib_width,0.75,Validation,695,3.6490107913669063,0.5726618705035971,1.0965613250202275,128.0,603.25,0.339568345323741,0.2014388489208633
1.00x_ib_width,1.0,Validation,695,3.043525179856115,0.5467625899280576,1.0764566616063038,128.0,603.25,0.21726618705035972,0.2158273381294964
1.00x_ib_width,1.5,Validation,695,6.70953237410072,0.5381294964028777,1.1655689393468671,128.0,603.25,0.11079136690647481,0.22446043165467625
1.00x_ib_width,2.0,Validation,695,5.962589928057554,0.5352517985611511,1.1465942657021067,128.0,603.25,0.03741007194244604,0.22589928057553957
opposite_ib,0.75,OOS,370,4.693243243243243,0.5540540540540541,1.092398967728204,199.25,594.5,0.24864864864864866,0.14324324324324325
opposite_ib,1.0,OOS,370,6.3,0.5405405405405406,1.1221506052507468,199.25,594.5,0.15675675675675677,0.14324324324324325
opposite_ib,1.5,OOS,370,5.890878378378378,0.5324324324324324,1.1125054842955584,199.25,594.5,0.05675675675675676,0.14594594594594595
opposite_ib,2.0,OOS,370,4.422972972972973,0.5297297297297298,1.0839661364802462,199.25,594.5,0.021621621621621623,0.14864864864864866
0.25x_ib_width,0.75,OOS,370,-2.357305743243243,0.5594594594594594,0.8981896243552612,47.46875,141.5625,0.5540540540540541,0.42702702702702705
0.25x_ib_width,1.0,OOS,370,-0.23293918918918918,0.5108108108108108,0.9908306902581903,47.46875,141.5625,0.4945945945945946,0.47297297297297297
0.25x_ib_width,1.5,OOS,370,1.7981418918918919,0.4297297297297297,1.0619507652912763,47.46875,141.5625,0.3864864864864865,0.5486486486486486
0.25x_ib_width,2.0,OOS,370,2.816554054054054,0.372972972972973,1.0903426453696279,47.46875,141.5625,0.3,0.5972972972972973
0.50x_ib_width,0.75,OOS,370,-3.0152027027027026,0.5513513513513514,0.9266789895255699,94.9375,283.125,0.4891891891891892,0.3567567567567568
0.50x_ib_width,1.0,OOS,370,-0.6557432432432433,0.5,0.9849991885186988,94.9375,283.125,0.3837837837837838,0.3864864864864865
0.50x_ib_width,1.5,OOS,370,-3.5930743243243244,0.44324324324324327,0.9255144061742748,94.9375,283.125,0.23243243243243245,0.43243243243243246
0.50x_ib_width,2.0,OOS,370,-3.502027027027027,0.42702702702702705,0.929412886267994,94.9375,283.125,0.14864864864864866,0.44324324324324327
0.75x_ib_width,0.75,OOS,370,3.8806587837837836,0.5675675675675675,1.0842656034508056,142.40625,424.6875,0.3837837837837838,0.23513513513513515
0.75x_ib_width,1.0,OOS,370,1.5619932432432433,0.527027027027027,1.0309870482381918,142.40625,424.6875,0.2756756756756757,0.2594594594594595
0.75x_ib_width,1.5,OOS,370,0.6930743243243244,0.4972972972972973,1.0131557430926739,142.40625,424.6875,0.13513513513513514,0.27297297297297296
0.75x_ib_width,2.0,OOS,370,0.43158783783783783,0.4891891891891892,1.008092895672914,142.40625,424.6875,0.06486486486486487,0.2756756756756757
1.00x_ib_width,0.75,OOS,370,3.2964527027027026,0.5540540540540541,1.0650421949366076,189.875,566.25,0.28378378378378377,0.16486486486486487
1.00x_ib_width,1.0,OOS,370,2.2581081081081082,0.527027027027027,1.0426792669689036,189.875,566.25,0.1783783783783784,0.17297297297297298
1.00x_ib_width,1.5,OOS,370,2.1983108108108107,0.5162162162162162,1.0408993199160266,189.875,566.25,0.06756756756756757,0.17567567567567569
1.00x_ib_width,2.0,OOS,370,3.4148648648648647,0.5135135135135135,1.0631971189916471,189.875,566.25,0.02972972972972973,0.1783783783783784
