sample,period,direction,horizon,n,mfe_mean,mfe_median,mae_mean,mae_median,net,p_positive
all_events,Inner,downside_failure_long,1,215,0.042570940289569384,0.03350970017636684,0.05482593564152827,0.04142011834319527,-0.012254995351958878,0.4186046511627907
all_events,Inner,downside_failure_long,2,215,0.055074976771136465,0.04371584699453552,0.08106615358397555,0.060077519379844964,-0.025991176812839096,0.39069767441860465
all_events,Inner,downside_failure_long,3,215,0.06571467008453162,0.05345911949685535,0.09621016885650831,0.07053941908713693,-0.0304954987719767,0.3767441860465116
all_events,Inner,downside_failure_long,5,215,0.08420357849892164,0.0749063670411985,0.12174056215507821,0.09420289855072464,-0.037536983656156556,0.4232558139534884
all_events,Inner,downside_failure_long,10,215,0.12590044831044506,0.1016260162601626,0.17315641456701997,0.11387900355871886,-0.04725596625657492,0.48372093023255813
all_events,Inner,downside_failure_long,15,215,0.1518571261780296,0.12481644640234948,0.21637878315685635,0.14937759336099585,-0.06452165697882674,0.48372093023255813
all_events,Inner,downside_failure_long,30,215,0.21799868100424546,0.18269230769230768,0.2895301488647685,0.21153846153846154,-0.07153146786052304,0.4697674418604651
all_events,Inner,upside_failure_short,1,283,0.04512506820191416,0.03260869565217391,0.04615726159192074,0.03640256959314775,-0.0010321933900065755,0.4628975265017668
all_events,Inner,upside_failure_short,2,283,0.06072850770007642,0.0457516339869281,0.06354767210762137,0.05177993527508091,-0.0028191644075449447,0.4558303886925795
all_events,Inner,upside_failure_short,3,283,0.07440986339465382,0.05434782608695652,0.07578310152990177,0.060263653483992465,-0.0013732381352479447,0.4628975265017668
all_events,Inner,upside_failure_short,5,283,0.09615680024474405,0.06636005256241786,0.09300134395499722,0.06962025316455696,0.0031554562897468234,0.4840989399293286
all_events,Inner,upside_failure_short,10,283,0.13549239877742794,0.09313725490196079,0.13467408539860723,0.10264900662251655,0.0008183133788207025,0.46996466431095407
all_events,Inner,upside_failure_short,15,283,0.16546911078195395,0.11375661375661375,0.16389690822637842,0.1323529411764706,0.0015722025555755198,0.4628975265017668
all_events,Inner,upside_failure_short,30,283,0.21739045577576996,0.1581196581196581,0.23085235714106414,0.1936056838365897,-0.013461901365294163,0.4628975265017668
all_events,OOS,downside_failure_long,1,116,0.05793807904799761,0.04334958785204168,0.054671899893253384,0.037547253879517406,0.0032661791547442293,0.5344827586206896
all_events,OOS,downside_failure_long,2,116,0.079561749147089,0.06545661027568922,0.07942050818918696,0.06011458621166068,0.00014124095790204872,0.5172413793103449
all_events,OOS,downside_failure_long,3,116,0.09135515378023899,0.08105404290429043,0.09225098573577784,0.06493387238709841,-0.0008958319555388484,0.5431034482758621
all_events,OOS,downside_failure_long,5,116,0.1083943477263224,0.10048141513658755,0.12542190475525522,0.09025730367193782,-0.017027557028932844,0.5258620689655172
all_events,OOS,downside_failure_long,10,116,0.14159130421667226,0.13287414447011642,0.17961354708630958,0.13140895405235586,-0.03802224286963731,0.46551724137931033
all_events,OOS,downside_failure_long,15,116,0.1653929263351837,0.1432426006882318,0.21035414919239082,0.15215706686863428,-0.0449612228572071,0.5
all_events,OOS,downside_failure_long,30,116,0.23716248688377792,0.19370308891454965,0.28350488907653104,0.2203457054309327,-0.04634240219275311,0.45689655172413796
all_events,OOS,upside_failure_short,1,163,0.05263056605513447,0.03476946334089191,0.04815344880453854,0.039779005524861875,0.00447711725059593,0.48466257668711654
all_events,OOS,upside_failure_short,2,163,0.07766940124163893,0.05423280423280423,0.05991600301638182,0.04697986577181208,0.017753398225257108,0.5153374233128835
all_events,OOS,upside_failure_short,3,163,0.09408776147138931,0.06812339331619537,0.06636234527224955,0.054242002781641166,0.027725416199139763,0.5460122699386503
all_events,OOS,upside_failure_short,5,163,0.11703263818488428,0.09128065395095368,0.08162610151950862,0.06447368421052632,0.03540653666537565,0.5460122699386503
all_events,OOS,upside_failure_short,10,163,0.1577766670511539,0.11908646003262642,0.1289690159055378,0.09164149043303121,0.028807651145616064,0.50920245398773
all_events,OOS,upside_failure_short,15,163,0.1842575851703968,0.13113651647612642,0.16716440051425244,0.1188118811881188,0.017093184656144393,0.49079754601226994
all_events,OOS,upside_failure_short,30,163,0.24154371390019244,0.1670445956160242,0.23943165739043484,0.17981438515081208,0.0021120565097575844,0.5337423312883436
all_events,Train,downside_failure_long,1,468,0.044012833519675096,0.03149801587301587,0.05481783913282877,0.04095610847078557,-0.01080500561315368,0.4166666666666667
all_events,Train,downside_failure_long,2,468,0.060935333688490655,0.047619047619047616,0.07192465271745292,0.055050505050505044,-0.01098931902896226,0.452991452991453
all_events,Train,downside_failure_long,3,468,0.07187566426413503,0.05779352226720648,0.08801134785449978,0.06539558089807555,-0.01613568359036475,0.4551282051282051
all_events,Train,downside_failure_long,5,468,0.09159149641546098,0.07142857142857142,0.1132650351134614,0.08189269746646796,-0.02167353869800041,0.44871794871794873
