period,metric,up_mean,down_mean,up_median,down_median,ks_p
Inner,r1,-0.012341437341253576,-0.01104599469511227,-0.00980392156862745,-0.020942408376963352,0.002659230575224225
Inner,r2,-0.014196676489702437,-0.0072506160040078345,-0.014184397163120567,-0.02912621359223301,0.0004563796882058235
Inner,r3,-0.0011383712983704607,-0.01648626729424505,-0.0037313432835820895,-0.026455026455026454,0.04484170458786503
Inner,r4,-0.009309744137855272,-0.012156044244837317,-0.011124845488257108,-0.032567049808429116,0.0004563796882058235
Inner,r5,-0.005453594788539503,-0.012088416889312325,0.0,-0.014285714285714285,0.052469414356154646
Inner,decay_r5_minus_r1,0.006887842552714074,-0.001042422194200055,0.005405405405405406,0.0,0.13483317183165924
Inner,max_t_5m,3.2367491166077738,2.5069767441860464,1.0,1.0,0.7382568477604182
Inner,pre_failure_giveback,0.6675558594916089,0.7075654602857919,0.7,0.7564766839378239,0.08913073644295662
OOS,r1,-0.019068124430353224,-0.023057965775734796,-0.016046681254558718,-0.02241021266328887,0.15960324590717945
OOS,r2,-0.011315618640069561,-0.01899912745725065,-0.007246376811594203,-0.029160623216207365,0.022665613994352855
OOS,r3,-0.010712819799084618,-0.012641558494695126,-0.008712487899322363,0.000856985698569857,0.4220466512042977
OOS,r4,0.006776455134691412,0.006485691945813878,-0.002635046113306983,-0.0027781110344620736,0.0495789185770062
OOS,r5,0.012496404629973295,-0.009246777303741273,0.010067114093959731,-0.024533452759967246,0.011718513722125918
OOS,decay_r5_minus_r1,0.031564529060326516,0.013811188471993524,0.032981530343007916,-0.0015585736409534992,0.06695872918473002
OOS,max_t_5m,2.815950920245399,2.396551724137931,1.0,1.0,0.9882841422261526
OOS,pre_failure_giveback,0.6438350648961353,0.6710818303266199,0.6956521739130432,0.7149923896499238,0.8234689501704788
Train,r1,-0.00901660635459035,-0.011751912963628009,-0.015384615384615385,-0.03086890243902439,0.003164591637262278
Train,r2,-0.0016722407038896828,-0.018259070940098394,-0.006211180124223602,-0.02405753968253968,0.0005124887448524314
Train,r3,-0.004396987855966091,0.008825915837540027,-0.007042253521126761,0.0012077294685990338,0.005785627104500078
Train,r4,0.0007210527622312435,-0.015388478098021083,0.0,-0.018518518518518517,9.250600676927976e-05
Train,r5,-0.005723541828310991,-0.008538152581870144,0.0,-0.013793759512937594,0.00826327627697713
Train,decay_r5_minus_r1,0.003293064526279356,0.0032137603817578644,0.0,0.011911514463981848,0.1312318732020533
Train,max_t_5m,2.6422018348623855,2.514957264957265,1.0,1.0,0.9284036660314767
Train,pre_failure_giveback,0.6748982384587011,0.6687220063167973,0.7272727272727273,0.7137466307277627,0.7046257364655487
Validation,r1,-0.0077182243625142834,-0.020217563776904347,-0.013850415512465374,-0.01639344262295082,0.3554879946149865
Validation,r2,-0.015958214385425606,-0.004387884810582895,-0.009732360097323601,-0.00909090909090909,0.5913750641102604
Validation,r3,-0.008900118597932992,-0.00470610795939759,-0.013975155279503106,0.0037926675094816687,0.5357632945896968
Validation,r4,-0.01211971977393748,0.010273012509988338,-0.0110803324099723,0.0,0.3328299286448912
Validation,r5,0.0013869596346881396,-0.012457449702163833,0.013123359580052493,-0.017578125,0.018476608918874364
Validation,decay_r5_minus_r1,0.009105183997202422,0.007760114074740517,0.02064896755162242,0.0,0.05141573198637192
Validation,max_t_5m,2.8634686346863467,3.198443579766537,1.0,1.0,0.9109904800173071
Validation,pre_failure_giveback,0.6560468928986543,0.6920804592102099,0.685483870967742,0.7590361445783133,0.012005177751137502
