period,direction,bar_after_break,signed_close_disp_ib
Train,upside_failure,5,0.13793103448275862
Train,downside_failure,1,-0.09523809523809523
Train,downside_failure,2,-0.11904761904761904
Train,downside_failure,3,-0.11904761904761904
Train,downside_failure,4,-0.07142857142857142
Train,downside_failure,5,-0.30952380952380953
Train,upside_failure,1,-0.021739130434782608
Train,upside_failure,2,-0.2826086956521739
Train,upside_failure,3,-0.2608695652173913
Train,upside_failure,4,-0.43478260869565216
Train,upside_failure,5,-0.2608695652173913
Train,downside_failure,1,-0.16666666666666666
Train,downside_failure,2,-0.14814814814814814
Train,downside_failure,3,-0.14814814814814814
Train,downside_failure,4,-0.24074074074074073
Train,downside_failure,5,-0.3148148148148148
Train,downside_failure,1,-0.09375
Train,downside_failure,2,-0.28125
Train,downside_failure,3,-0.296875
Train,downside_failure,4,-0.21875
Train,downside_failure,5,-0.28125
Train,upside_failure,1,-0.04878048780487805
Train,upside_failure,2,-0.07317073170731707
Train,upside_failure,3,-0.04878048780487805
Train,upside_failure,4,-0.24390243902439024
Train,upside_failure,5,-0.34146341463414637
Train,downside_failure,1,0.09803921568627451
Train,downside_failure,2,0.058823529411764705
Train,downside_failure,3,0.11764705882352941
Train,downside_failure,4,0.17647058823529413
Train,downside_failure,5,0.0196078431372549
Train,upside_failure,1,-0.125
Train,upside_failure,2,0.020833333333333332
Train,upside_failure,3,-0.14583333333333334
Train,upside_failure,4,-0.0625
Train,upside_failure,5,-0.0625
Train,downside_failure,1,0.061224489795918366
Train,downside_failure,2,0.08163265306122448
Train,downside_failure,3,-0.08163265306122448
Train,downside_failure,4,-0.14285714285714285
Train,downside_failure,5,-0.10204081632653061
Train,upside_failure,1,0.05
Train,upside_failure,2,-0.025
Train,upside_failure,3,-0.05
Train,upside_failure,4,-0.125
Train,upside_failure,5,-0.075
Train,downside_failure,1,-0.1320754716981132
Train,downside_failure,2,-0.0660377358490566
Train,downside_failure,3,-0.09433962264150944
Train,downside_failure,4,-0.10377358490566038
Train,downside_failure,5,-0.12264150943396226
Train,downside_failure,1,-0.0365296803652968
Train,downside_failure,2,-0.1095890410958904
Train,downside_failure,3,0.0091324200913242
Train,downside_failure,4,0.1004566210045662
Train,downside_failure,5,0.1141552511415525
Train,downside_failure,1,-0.08547008547008547
Train,downside_failure,2,0.09829059829059829
Train,downside_failure,3,-0.10256410256410256
Train,downside_failure,4,0.0641025641025641
Train,downside_failure,5,0.17094017094017094
Train,downside_failure,1,-0.022727272727272728
Train,downside_failure,2,-0.0
Train,downside_failure,3,0.2159090909090909
Train,downside_failure,4,0.1590909090909091
Train,downside_failure,5,-0.06818181818181818
Train,downside_failure,1,-0.0660377358490566
Train,downside_failure,2,-0.05660377358490566
Train,downside_failure,3,0.04716981132075472
Train,downside_failure,4,0.11320754716981132
Train,downside_failure,5,0.39622641509433965
Train,upside_failure,1,0.05
Train,upside_failure,2,0.15
Train,upside_failure,3,0.05
Train,upside_failure,4,-0.075
Train,upside_failure,5,-0.1
Train,downside_failure,1,-0.05232558139534884
Train,downside_failure,2,0.011627906976744186
Train,downside_failure,3,0.0872093023255814
Train,downside_failure,4,0.06395348837209303
Train,downside_failure,5,0.023255813953488372
Train,upside_failure,1,0.3620689655172414
Train,upside_failure,2,0.034482758620689655
Train,upside_failure,3,-0.08620689655172414
Train,upside_failure,4,-0.22413793103448276
Train,upside_failure,5,-0.1724137931034483
Train,downside_failure,1,0.025
Train,downside_failure,2,-0.0
Train,downside_failure,3,0.1125
Train,downside_failure,4,0.35
Train,downside_failure,5,0.425
Train,downside_failure,1,0.1927710843373494
Train,downside_failure,2,0.13253012048192772
Train,downside_failure,3,0.30120481927710846
Train,downside_failure,4,0.21686746987951808
Train,downside_failure,5,0.20481927710843373
Train,downside_failure,1,0.16666666666666666
Train,downside_failure,2,0.17543859649122806
Train,downside_failure,3,0.13157894736842105
Train,downside_failure,4,0.15789473684210525
Train,downside_failure,5,-0.043859649122807015
Train,upside_failure,1,0.014492753623188406
Train,upside_failure,2,0.057971014492753624
Train,upside_failure,3,0.043478260869565216
Train,upside_failure,4,0.014492753623188406
Train,upside_failure,5,0.057971014492753624
Train,downside_failure,1,-0.25925925925925924
Train,downside_failure,2,0.037037037037037035
Train,downside_failure,3,-0.12962962962962962
Train,downside_failure,4,-0.18518518518518517
Train,downside_failure,5,-0.3148148148148148
Train,downside_failure,1,0.1702127659574468
Train,downside_failure,2,0.10638297872340426
Train,downside_failure,3,0.2127659574468085
Train,downside_failure,4,0.5106382978723404
Train,downside_failure,5,0.5531914893617021
Train,upside_failure,1,0.13333333333333333
Train,upside_failure,2,0.13333333333333333
Train,upside_failure,3,0.26666666666666666
Train,upside_failure,4,0.13333333333333333
Train,upside_failure,5,0.26666666666666666
Train,downside_failure,1,0.09090909090909091
Train,downside_failure,2,0.03896103896103896
Train,downside_failure,3,0.09090909090909091
Train,downside_failure,4,0.18181818181818182
Train,downside_failure,5,0.4025974025974026
Train,upside_failure,1,0.14285714285714285
Train,upside_failure,2,0.14285714285714285
Train,upside_failure,3,0.23809523809523808
Train,upside_failure,4,0.14285714285714285
Train,upside_failure,5,0.14285714285714285
Train,downside_failure,1,-0.05
Train,downside_failure,2,-0.075
