period,n,mean_pts,mean_R,win,pf,median_risk_pts,p95_risk_pts,max_risk_pts,median_nq_risk$,median_mnq_risk$,max_dd_pts,max_consec_loss
IS,554,3.687048736462094,0.029051904455555968,0.4151624548736462,1.3009004364078296,16.125,67.67500000000001,151.5,322.5,32.25,-560.5,9
OOS,69,17.784420289855074,0.12233059679263888,0.4492753623188406,1.398530426663419,91.875,171.59999999999997,270.25,1837.5,183.75,-647.75,8
Validation,164,10.099085365853659,0.08638952754593875,0.4451219512195122,1.3268054459352803,60.9375,105.91874999999999,163.625,1218.75,121.875,-918.0,6
