split,risk_bin,n,mean_net,mean_R,median_risk
IS,Q1,145,-0.8560344827586207,-0.08218155020608367,7.375
IS,Q2,135,-1.125,-0.0937782791171191,12.5
IS,Q3,135,1.2194444444444446,0.05331383930383391,20.875
IS,Q4,139,15.496402877697841,0.24081855556153697,48.625
OOS,Q3,2,53.625,1.9633019818609339,27.3125
OOS,Q4,67,16.71455223880597,0.06737622708910769,95.0
Validation,Q3,7,-8.464285714285714,-0.18371002108483261,26.125
Validation,Q4,157,10.926751592356688,0.0984321825804317,61.5
