split,trades,win_rate,avg_net_points,median_net_points,net_points,net_dollars_1_contract,profit_factor,max_drawdown_points,max_drawdown_dollars_1_contract,target_rate,stop_rate,time_rate,long_trades,short_trades
IS,2118,0.49291784702549574,0.4555004721435316,-0.25,964.75,19295.0,1.0307725431405697,-2184.25,-43685.0,0.17280453257790368,0.17988668555240794,0.6473087818696884,1186,932
Validation,695,0.5510791366906475,4.530935251798561,10.25,3149.0,62980.0,1.1131980516562718,-1275.75,-25515.0,0.19424460431654678,0.17841726618705037,0.6273381294964029,358,337
OOS,370,0.5405405405405406,6.3,16.0,2331.0,46620.0,1.1221506052507468,-1853.25,-37065.0,0.15675675675675677,0.14324324324324325,0.7,211,159
