feature,period,bin,n,mfe60_ib,mae60_ib,mfe_mae,net_ib,p_mfe_025,p_mfe_050,p_mfe_100
excursion_ib,Inner,Q1,103,0.2351441947715382,0.3185581798640413,0.7381514889113704,-0.08341398509250299,0.32038834951456313,0.11650485436893204,0.009708737864077669
excursion_ib,Inner,Q2,117,0.2633342790441672,0.428818370318956,0.6140928124144929,-0.1654840912747887,0.41025641025641024,0.1282051282051282,0.017094017094017096
excursion_ib,Inner,Q3,99,0.2706714909841979,0.33543121331413284,0.8069359088854764,-0.064759722329935,0.46464646464646464,0.1717171717171717,0.0
excursion_ib,Inner,Q4,73,0.40573041788901376,0.32992023455328223,1.2297833700269396,0.07581018333573158,0.6301369863013698,0.2465753424657534,0.0684931506849315
excursion_ib,Inner,Q5,106,0.36841038837412815,0.4230372347631891,0.8708698859105384,-0.0546268463890609,0.5849056603773585,0.2358490566037736,0.018867924528301886
excursion_ib,OOS,Q1,78,0.21776211132438866,0.2812321505805594,0.774314426266176,-0.06347003925617067,0.3974358974358974,0.0641025641025641,0.01282051282051282
excursion_ib,OOS,Q2,62,0.3046956782271262,0.29014276598411104,1.0501577635191224,0.014552912243015238,0.532258064516129,0.1935483870967742,0.0
excursion_ib,OOS,Q3,50,0.3227088090512714,0.42983907233046736,0.7507665771323077,-0.10713026327919586,0.44,0.16,0.06
excursion_ib,OOS,Q4,52,0.3341988554514185,0.36935068314349934,0.904828042030658,-0.03515182769208102,0.6153846153846154,0.19230769230769232,0.019230769230769232
excursion_ib,OOS,Q5,37,0.4139872661294235,0.3734824906940821,1.1084516046791566,0.04050477543534148,0.6216216216216216,0.2972972972972973,0.08108108108108109
excursion_ib,Train,Q1,203,0.20087014481536644,0.32886424481426635,0.6107995867073128,-0.12799409999889988,0.2955665024630542,0.08374384236453201,0.0049261083743842365
excursion_ib,Train,Q2,202,0.2664662507119096,0.36260174182187105,0.7348730576225742,-0.09613549110996147,0.400990099009901,0.14356435643564355,0.01485148514851485
excursion_ib,Train,Q3,203,0.30747325127393704,0.3315979954644228,0.9272470143955556,-0.024124744190485777,0.4876847290640394,0.17733990147783252,0.024630541871921183
excursion_ib,Train,Q4,202,0.3834748213436099,0.3245967996392797,1.1813881768697676,0.05887802170433035,0.5247524752475248,0.24752475247524752,0.06930693069306931
excursion_ib,Train,Q5,203,0.4354837791663025,0.37017991350553414,1.1764111538153246,0.06530386566076829,0.645320197044335,0.31527093596059114,0.08374384236453201
excursion_ib,Validation,Q1,112,0.22852511181547344,0.3019747951420109,0.7567688280341544,-0.0734496833265375,0.35714285714285715,0.09821428571428571,0.008928571428571428
excursion_ib,Validation,Q2,125,0.28524307237216345,0.32027696316814985,0.8906137661309311,-0.03503389079598657,0.464,0.192,0.0
excursion_ib,Validation,Q3,103,0.30180277108189324,0.38513344416020623,0.783631688335928,-0.08333067307831311,0.44660194174757284,0.21359223300970873,0.038834951456310676
excursion_ib,Validation,Q4,88,0.3525911668721177,0.3328076327031014,1.0594443523074644,0.0197835341690164,0.5227272727272727,0.26136363636363635,0.022727272727272728
excursion_ib,Validation,Q5,100,0.4019081985244856,0.356187686435049,1.128360731801361,0.045720512089436706,0.6,0.32,0.05
outside_5m,Inner,Q1,123,0.2519445639159482,0.5326538318161473,0.47299868857962196,-0.280709267900199,0.36585365853658536,0.12195121951219512,0.016260162601626018
outside_5m,Inner,Q2,95,0.3411002432975129,0.3500861726889811,0.9743322356251659,-0.008985929391468249,0.4631578947368421,0.23157894736842105,0.031578947368421054
outside_5m,Inner,Q3,89,0.32320939451717656,0.32392651498393027,0.9977861631154545,-0.0007171204667536667,0.5730337078651685,0.19101123595505617,0.011235955056179775
