split,trades,win_rate,avg_net_points,median_net_points,net_points,net_dollars_1_contract,profit_factor,max_drawdown_points,max_drawdown_dollars_1_contract,target_rate,stop_rate,time_rate,long_trades,short_trades
IS,2187,0.47599451303155005,-0.422267946959305,-0.5,-923.5,-46175.0,0.9077883175237145,-1288.75,-64437.5,0.2217649748513946,0.2167352537722908,0.5614997713763146,1204,983
Validation,715,0.5118881118881119,0.15349650349650348,0.5,109.75,5487.5,1.016120740305523,-443.75,-22187.5,0.2727272727272727,0.25034965034965034,0.47692307692307695,365,350
OOS,389,0.5115681233933161,0.6741645244215938,0.75,262.25,13112.5,1.0604750374726162,-691.25,-34562.5,0.20822622107969152,0.20308483290488433,0.5886889460154242,214,175
