session_date,year,split,side,ib_high,ib_low,ib_width,signal_ny_min,entry_ny_min,entry,stop,target,risk_points,exit_ny_min,exit,exit_kind,gross_points,cost_points,net_points,net_r,label,period,sd,ny_min,vwap,session_open,path,run_high,run_low,sd_five,ib_high_five,ib_low_five,ib_width_five,ib_volume,ib_close,ib_vs_prior20,bar_open,bar_high,bar_low,bar_close,bar_volume,bar_close_min,es_sd,es_ny_min,es_close,es_ib_high,es_ib_low,signal_delay_min,breakout_excess_ib,signal_body_fraction,signal_range_ib,signal_vol_vs_ib5mean,vwap_distance_ib,trend_efficiency,range_sofar_ib,es_confirms
2010-06-07,2010,IS,short,1845.5,1826.25,19.25,654,655,1821.5,1845.5,1797.5,24.0,930,1797.5,target,24.0,1.0,23.0,0.9583333333333334,1,Train,2010-06-07,654,1835.2866519806985,1841.25,107.25,1845.5,1820.25,2010-06-07,1845.5,1826.25,19.25,62769,1836.5,,1827.75,1829.5,1820.25,1821.75,7162,654,2010-06-07,654,1062.0,1070.75,1060.5,24,0.23376623376623376,0.6486486486486487,0.4805194805194805,1.3692109162166037,0.7032027002960249,0.18181818181818182,1.3116883116883118,False
2010-06-14,2010,IS,long,1873.0,1858.75,14.25,684,685,1874.5,1858.75,1890.25,15.75,838,1858.75,stop,-15.75,1.0,-16.75,-1.0634920634920637,0,Train,2010-06-14,684,1866.871145576732,1862.25,89.5,1876.0,1858.75,2010-06-14,1873.0,1858.75,14.25,58327,1871.25,,1872.25,1876.0,1872.0,1874.75,3853,684,2010-06-14,684,1100.75,1097.5,1091.5,54,0.12280701754385964,0.625,0.2807017543859649,0.7927032077768444,0.5529020647907346,0.13966480446927373,1.2105263157894737,True
2010-06-21,2010,IS,short,1938.75,1925.75,13.0,649,650,1925.25,1938.75,1911.75,13.5,819,1911.75,target,13.5,1.0,12.5,0.925925925925926,1,Train,2010-06-21,649,1931.49614333905,1935.5,71.75,1938.75,1924.25,2010-06-21,1938.75,1925.75,13.0,60916,1927.25,,1927.25,1928.0,1925.0,1925.5,2875,649,2010-06-21,649,1122.75,1127.5,1121.5,19,0.019230769230769232,0.5833333333333334,0.23076923076923078,0.5663536673451967,0.4612417953115325,0.13937282229965156,1.1153846153846154,False
2010-07-06,2010,IS,short,1762.5,1745.5,17.0,754,755,1744.0,1762.5,1725.5,18.5,834,1725.5,target,18.5,1.0,17.5,0.945945945945946,1,Train,2010-07-06,754,1754.0233405733773,1751.5,144.0,1762.5,1743.25,2010-07-06,1762.5,1745.5,17.0,82286,1758.5,,1745.75,1745.75,1743.25,1743.75,2557,754,2010-07-06,754,1029.75,1038.5,1028.75,124,0.10294117647058823,0.8,0.14705882352941177,0.37289453856063,0.6043141513751326,0.05381944444444445,1.1323529411764706,False
2010-07-19,2010,IS,short,1818.25,1798.25,20.0,649,650,1797.0,1818.25,1775.75,21.25,907,1818.25,stop,-21.25,1.0,-22.25,-1.0470588235294118,0,Train,2010-07-19,649,1807.9133494762332,1807.5,98.75,1818.25,1795.5,2010-07-19,1818.25,1798.25,20.0,77930,1798.25,,1802.0,1802.25,1795.5,1797.0,4138,649,2010-07-19,649,1058.5,1069.25,1059.0,19,0.0625,0.7407407407407407,0.3375,0.6371872192993712,0.5456674738116589,0.10632911392405063,1.1375,True
2010-09-27,2010,IS,short,2021.25,2012.25,9.0,674,675,2012.0,2021.25,2002.75,9.25,835,2021.25,stop,-9.25,1.0,-10.25,-1.108108108108108,0,Train,2010-09-27,674,2015.8812004228255,2020.0,77.0,2021.25,2011.25,2010-09-27,2021.25,2012.25,9.0,52634,2017.75,,2014.0,2015.0,2011.25,2012.0,4276,674,2010-09-27,674,1139.75,1144.25,1139.25,44,0.027777777777777776,0.5333333333333333,0.4166666666666667,0.9748831553748527,0.43124449142505406,0.1038961038961039,1.1111111111111112,False
2010-10-04,2010,IS,short,1996.0,1981.25,14.75,669,670,1980.25,1996.0,1964.5,15.75,720,1964.5,target,15.75,1.0,14.75,0.9365079365079364,1,Train,2010-10-04,669,1987.7889694899213,1988.5,103.0,1996.0,1979.0,2010-10-04,1996.0,1981.25,14.75,65856,1989.75,,1982.75,1982.75,1979.0,1980.0,4208,669,2010-10-04,669,1135.75,1144.0,1137.0,39,0.0847457627118644,0.7333333333333333,0.2542372881355932,0.7667638483965015,0.5280657281302595,0.0825242718446602,1.152542372881356,True
2010-11-01,2010,IS,short,2146.5,2131.0,15.5,664,665,2130.75,2146.5,2115.0,15.75,915,2115.0,target,15.75,1.0,14.75,0.9365079365079364,1,Train,2010-11-01,664,2139.059142998725,2131.25,69.75,2146.5,2129.25,2010-11-01,2146.5,2131.0,15.5,68089,2142.25,1.0,2135.0,2135.0,2129.25,2130.75,7961,664,2010-11-01,664,1187.0,1192.75,1185.75,34,0.016129032258064516,0.7391304347826086,0.3709677419354839,1.4030460133061142,0.5360737418532153,0.007168458781362007,1.1129032258064515,False
2010-12-06,2010,IS,short,2193.0,2184.25,8.75,699,700,2183.0,2193.0,2173.0,10.0,942,2193.0,stop,-10.0,1.0,-11.0,-1.1,0,Train,2010-12-06,699,2189.183599893924,2190.5,80.75,2193.25,2182.75,2010-12-06,2193.0,2184.25,8.75,43324,2192.5,0.56,2186.25,2187.0,2182.75,2183.25,3158,699,2010-12-06,699,1220.25,1223.75,1220.0,69,0.11428571428571428,0.7058823529411765,0.4857142857142857,0.8747114763179762,0.6781257021627555,0.08978328173374613,1.2,False
2010-12-13,2010,IS,long,2223.5,2215.25,8.25,659,660,2223.75,2215.25,2232.25,8.5,924,2215.25,stop,-8.5,1.0,-9.5,-1.1176470588235294,0,Train,2010-12-13,659,2220.0586278810542,2223.25,55.25,2224.25,2215.25,2010-12-13,2223.5,2215.25,8.25,43046,2220.0,0.5454545454545454,2222.5,2224.25,2222.5,2224.0,2813,659,2010-12-13,659,1241.25,1240.5,1236.5,29,0.06060606060606061,0.8571428571428571,0.21212121212121213,0.7841843609162292,0.47774207502372906,0.013574660633484163,1.0909090909090908,True
2011-01-24,2011,IS,long,2279.25,2267.0,12.25,664,665,2281.25,2267.0,2295.5,14.25,725,2295.5,target,14.25,1.0,13.25,0.9298245614035088,1,Train,2011-01-24,664,2274.3486572101806,2271.25,90.0,2282.0,2267.0,2011-01-24,2279.25,2267.0,12.25,45454,2276.0,0.765625,2278.0,2282.0,2276.75,2281.5,5491,664,2011-01-24,664,1284.5,1283.0,1278.75,34,0.1836734693877551,0.6666666666666666,0.42857142857142855,1.4496413956967482,0.5837830848832171,0.11388888888888889,1.2244897959183674,True
2011-02-28,2011,IS,short,2363.0,2354.0,9.0,689,690,2352.5,2363.0,2342.0,10.5,781,2342.0,target,10.5,1.0,9.5,0.9047619047619048,1,Train,2011-02-28,689,2358.498641453967,2356.25,71.25,2363.0,2352.5,2011-02-28,2363.0,2354.0,9.0,41907,2360.5,0.5373134328358209,2356.25,2356.5,2352.5,2352.5,4444,689,2011-02-28,689,1324.75,1329.0,1322.75,59,0.16666666666666666,0.9375,0.4444444444444444,1.2725320352208462,0.6665157171074598,0.05263157894736842,1.1666666666666667,False
2011-03-07,2011,IS,short,2371.25,2355.0,16.25,639,640,2347.75,2371.25,2324.25,23.5,697,2324.25,target,23.5,1.0,22.5,0.9574468085106383,1,Train,2011-03-07,639,2361.9184171253996,2368.75,86.0,2371.25,2347.5,2011-03-07,2371.25,2355.0,16.25,61053,2358.0,0.9701492537313433,2356.25,2356.75,2347.5,2347.75,5860,639,2011-03-07,639,1319.0,1327.25,1320.5,9,0.4461538461538462,0.918918918918919,0.5692307692307692,1.1517861530145939,0.8719025923322848,0.2441860465116279,1.4615384615384615,True
2011-04-19,2011,IS,short,2297.0,2287.5,9.5,659,660,2286.75,2297.0,2276.5,10.25,830,2297.0,stop,-10.25,1.0,-11.25,-1.0975609756097562,0,Train,2011-04-19,659,2291.178562320237,2293.75,72.75,2297.0,2285.0,2011-04-19,2297.0,2287.5,9.5,48361,2293.25,0.6129032258064516,2288.25,2288.5,2286.75,2286.75,1229,659,2011-04-19,659,1302.0,1306.25,1301.5,29,0.07894736842105263,0.8571428571428571,0.18421052631578946,0.3049564731912078,0.4661644547617662,0.09621993127147767,1.263157894736842,False
2011-04-25,2011,IS,short,2381.0,2372.5,8.5,669,670,2372.5,2381.0,2364.0,8.5,860,2381.0,stop,-8.5,1.0,-9.5,-1.1176470588235294,0,Train,2011-04-25,669,2376.0878287325613,2376.0,61.5,2381.0,2372.0,2011-04-25,2381.0,2372.5,8.5,43505,2374.75,0.5483870967741935,2373.75,2374.0,2372.25,2372.25,792,669,2011-04-25,669,1327.75,1334.0,1328.25,39,0.029411764705882353,0.8571428571428571,0.20588235294117646,0.21845764854614413,0.45150926265427294,0.06097560975609756,1.0588235294117647,True
2011-05-02,2011,IS,long,2412.25,2400.5,11.75,634,635,2414.0,2400.5,2427.5,13.5,743,2400.5,stop,-13.5,1.0,-14.5,-1.0740740740740742,0,Train,2011-05-02,634,2406.3383292036824,2409.0,49.0,2414.25,2400.5,2011-05-02,2412.25,2400.5,11.75,61056,2412.25,0.7580645161290323,2412.25,2414.25,2412.0,2413.75,5132,634,2011-05-02,634,1366.75,1366.5,1361.75,4,0.1276595744680851,0.6666666666666666,0.19148936170212766,1.0086477987421383,0.6307804933036251,0.09693877551020408,1.1702127659574468,True
2011-05-05,2011,IS,long,2389.75,2372.5,17.25,704,705,2390.0,2372.5,2407.5,17.5,910,2372.5,stop,-17.5,1.0,-18.5,-1.0571428571428572,0,Train,2011-05-05,704,2382.677877497865,2372.75,136.75,2391.5,2372.5,2011-05-05,2389.75,2372.5,17.25,81261,2381.0,1.1129032258064515,2389.25,2391.5,2388.75,2390.0,4505,704,2011-05-05,704,1339.25,1340.25,1332.75,74,0.014492753623188406,0.2727272727272727,0.15942028985507245,0.6652637796729058,0.4244708696889733,0.12614259597806216,1.1014492753623188,False
2011-05-06,2011,IS,long,2402.0,2387.5,14.5,674,675,2403.25,2387.5,2419.0,15.75,796,2387.5,stop,-15.75,1.0,-16.75,-1.0634920634920637,0,Train,2011-05-06,674,2395.5824793693623,2395.5,82.25,2403.5,2387.5,2011-05-06,2402.0,2387.5,14.5,78672,2394.75,0.8923076923076924,2402.0,2403.5,2401.75,2403.0,3082,674,2011-05-06,674,1348.75,1349.75,1343.0,44,0.06896551724137931,0.5714285714285714,0.1206896551724138,0.4701037217815741,0.5115531469405298,0.0911854103343465,1.103448275862069,False
2011-05-16,2011,IS,long,2370.75,2359.5,11.25,664,665,2371.0,2359.5,2382.5,11.5,714,2359.5,stop,-11.5,1.0,-12.5,-1.0869565217391304,0,Train,2011-05-16,664,2366.4770693735045,2366.25,77.25,2371.25,2359.5,2011-05-16,2370.75,2359.5,11.25,75114,2365.75,0.7258064516129032,2368.0,2371.25,2367.25,2371.0,4838,664,2011-05-16,664,1340.5,1337.25,1328.0,34,0.022222222222222223,0.75,0.35555555555555557,0.7729051841201374,0.40203827791071184,0.061488673139158574,1.0444444444444445,True
2011-05-31,2011,IS,short,2362.5,2349.0,13.5,724,725,2347.5,2362.5,2332.5,15.0,940,2362.5,stop,-15.0,1.0,-16.0,-1.0666666666666669,0,Train,2011-05-31,724,2354.426604045275,2358.5,94.5,2362.5,2346.25,2011-05-31,2362.5,2349.0,13.5,58666,2352.25,1.173913043478261,2349.25,2349.25,2346.25,2347.5,2589,724,2011-05-31,724,1335.0,1344.0,1336.0,94,0.1111111111111111,0.5833333333333334,0.2222222222222222,0.5295741997068149,0.513081781131472,0.1164021164021164,1.2037037037037037,True
2011-06-06,2011,IS,long,2296.75,2286.5,10.25,684,685,2297.5,2286.5,2308.5,11.0,824,2286.5,stop,-11.0,1.0,-12.0,-1.0909090909090908,0,Train,2011-06-06,684,2292.947698626257,2287.25,105.0,2297.75,2286.5,2011-06-06,2296.75,2286.5,10.25,45332,2294.75,0.8118811881188119,2295.0,2297.75,2294.5,2297.5,1853,684,2011-06-06,684,1295.25,1298.25,1290.0,54,0.07317073170731707,0.7692307692307693,0.3170731707317073,0.4905144268949087,0.4441269632919923,0.09761904761904762,1.0975609756097562,False
2011-06-10,2011,IS,short,2247.25,2233.0,14.25,639,640,2232.5,2247.25,2217.75,14.75,954,2217.75,target,14.75,1.0,13.75,0.9322033898305084,1,Train,2011-06-10,639,2240.227831691831,2242.75,54.25,2247.25,2232.5,2011-06-10,2247.25,2233.0,14.25,37249,2236.25,1.1515151515151516,2235.0,2235.75,2232.5,2232.75,1926,639,2011-06-10,639,1269.75,1278.75,1269.0,9,0.017543859649122806,0.6923076923076923,0.22807017543859648,0.6204730328330962,0.5247601187249784,0.18433179723502305,1.0350877192982457,False
2011-07-11,2011,IS,short,2389.5,2372.5,17.0,639,640,2370.75,2389.5,2352.0,18.75,871,2352.0,target,18.75,1.0,17.75,0.9466666666666668,1,Train,2011-07-11,639,2379.8543098355713,2377.75,68.0,2389.5,2370.5,2011-07-11,2389.5,2372.5,17.0,71165,2375.25,1.431578947368421,2373.25,2373.25,2370.5,2370.75,4585,639,2011-07-11,639,1318.5,1327.0,1318.5,9,0.10294117647058823,0.9090909090909091,0.16176470588235295,0.7731328602543385,0.5355476373865445,0.10294117647058823,1.1176470588235294,True
2011-08-15,2011,IS,short,2207.5,2185.5,22.0,679,680,2184.0,2207.5,2160.5,23.5,945,2207.5,stop,-23.5,1.0,-24.5,-1.0425531914893618,0,Train,2011-08-15,679,2198.582822988822,2187.5,143.0,2208.25,2183.0,2011-08-15,2207.5,2185.5,22.0,58375,2206.25,1.6923076923076923,2191.0,2191.5,2183.0,2184.0,2829,679,2011-08-15,679,1187.0,1196.75,1185.5,49,0.06818181818181818,0.8235294117647058,0.38636363636363635,0.5815503211991435,0.6628555904010021,0.024475524475524476,1.1477272727272727,False
