group,n,mean_mfe_r,median_mfe_r,p75_mfe_r,mean_mae_r,median_mae_r,mfe_ge_0_25r,hit_0_25r_before_exit,median_minutes_to_0_25r,mfe_ge_0_5r,hit_0_5r_before_exit,median_minutes_to_0_5r,mfe_ge_1_0r,hit_1_0r_before_exit,median_minutes_to_1_0r,mfe_ge_1_5r,hit_1_5r_before_exit,median_minutes_to_1_5r,mfe_ge_2_0r,hit_2_0r_before_exit,median_minutes_to_2_0r
IS all,554,1.0673082108232577,0.9166023166023166,2.0,0.770043523023754,1.0,0.8212996389891697,0.8212996389891697,4.0,0.6787003610108303,0.6787003610108303,13.0,0.4711191335740072,0.4711191335740072,37.0,0.351985559566787,0.351985559566787,59.0,0.2545126353790614,0.2545126353790614,74.0
IS winners,230,1.8030385943557885,2.0054063834406888,2.091692789968652,0.38521954827964233,0.35282782541670676,1.0,1.0,5.0,0.991304347826087,0.991304347826087,14.0,0.9,0.9,38.0,0.7869565217391304,0.7869565217391304,62.0,0.6130434782608696,0.6130434782608696,74.0
IS losers_or_flat,324,0.5450304694267076,0.44337606837606836,0.8103213507625272,1.043221035959389,1.0439416171132905,0.6944444444444444,0.6944444444444444,4.0,0.4567901234567901,0.4567901234567901,10.5,0.16666666666666666,0.16666666666666666,35.0,0.043209876543209874,0.043209876543209874,40.5,0.0,0.0,
Validation all,164,1.1124058192621167,1.0652097902097903,1.8316431322207958,0.7785459872204512,0.9699753592844222,0.8475609756097561,0.8475609756097561,5.0,0.7439024390243902,0.7439024390243902,17.0,0.524390243902439,0.524390243902439,46.5,0.3475609756097561,0.3475609756097561,90.0,0.23170731707317074,0.23170731707317074,116.0
Validation winners,73,1.6899490591179793,2.003861003861004,2.051851851851852,0.43855824802952464,0.4117647058823529,1.0,1.0,7.0,0.9863013698630136,0.9863013698630136,17.0,0.863013698630137,0.863013698630137,50.0,0.6986301369863014,0.6986301369863014,90.0,0.5205479452054794,0.5205479452054794,116.0
Validation losers_or_flat,91,0.6491019015755454,0.5562579013906448,0.9893129770992366,1.0512834043736123,1.048723897911833,0.7252747252747253,0.7252747252747253,3.0,0.5494505494505495,0.5494505494505495,16.0,0.25274725274725274,0.25274725274725274,32.0,0.06593406593406594,0.06593406593406594,83.0,0.0,0.0,
OOS all,69,1.0919473632912116,0.9524793388429752,1.9791666666666667,0.781160048424875,0.9134615384615384,0.8695652173913043,0.8695652173913043,2.0,0.7101449275362319,0.7101449275362319,8.0,0.4782608695652174,0.4782608695652174,55.0,0.34782608695652173,0.34782608695652173,63.5,0.2463768115942029,0.2463768115942029,87.0
OOS winners,31,1.7274447152215924,2.0,2.0414804602072834,0.4809428948650409,0.4506578947368421,1.0,1.0,4.0,1.0,1.0,11.0,0.8387096774193549,0.8387096774193549,40.0,0.7096774193548387,0.7096774193548387,53.5,0.5483870967741935,0.5483870967741935,87.0
OOS losers_or_flat,38,0.5735153130322166,0.48248040698473804,0.7356317824041732,1.0260740421184242,1.0453761629772216,0.7631578947368421,0.7631578947368421,1.0,0.47368421052631576,0.47368421052631576,6.5,0.18421052631578946,0.18421052631578946,65.0,0.05263157894736842,0.05263157894736842,129.0,0.0,0.0,
