session_date,year,period,break_side,signal_end,extreme_end,reentry_end,rejection_minutes,entry_min,ib_width,excursion_ib,outside_5m,reentry_depth_ib,relvol,mfe60_ib,mae60_ib,reversal_net_ib,direction,id,gb1,gb2,gb3,gb4,gb5,sample
2010-06-07,2010,Train,-1,654,684,724,40,725,19.25,0.7792207792207793,14,0.0779220779220779,1.3692109162166035,0.1298701298701298,0.2857142857142857,-0.1558441558441558,downside_failure,0,-0.36363636363636365,-0.14285714285714285,-0.16883116883116883,-0.38961038961038963,-0.37662337662337664,all_events
2010-06-21,2010,Train,-1,649,664,679,15,680,13.0,0.4423076923076923,6,0.0192307692307692,0.5663536673451967,0.1923076923076923,0.7115384615384616,-0.5192307692307693,downside_failure,1,-0.1346153846153846,-0.25,-0.1346153846153846,-0.1346153846153846,-0.09615384615384616,all_events
2010-06-28,2010,Train,1,664,704,724,20,725,22.0,0.375,12,0.0227272727272727,0.4642887733251759,0.2045454545454545,0.125,0.0795454545454545,upside_failure,2,-0.022727272727272728,-0.03409090909090909,0.022727272727272728,0.045454545454545456,-0.1590909090909091,all_events
2010-07-06,2010,Train,-1,754,754,759,5,760,17.0,0.1323529411764706,1,0.0,0.37289453856063,0.0294117647058823,0.7352941176470589,-0.7058823529411765,downside_failure,3,0.10294117647058823,-0.3235294117647059,-0.39705882352941174,-0.39705882352941174,-0.4411764705882353,all_events
2010-07-12,2010,Train,-1,669,674,674,0,675,20.5,0.1219512195121951,1,0.1097560975609756,0.8036228664784534,0.1707317073170731,0.2560975609756097,-0.0853658536585365,downside_failure,4,0.13414634146341464,0.12195121951219512,0.06097560975609756,0.036585365853658534,0.0975609756097561,all_events
2010-07-19,2010,Train,-1,649,659,664,5,665,20.0,0.2875,3,0.1875,0.6371872192993712,0.325,0.05,0.275,downside_failure,5,-0.1125,0.0125,0.25,0.2625,0.3125,all_events
2010-07-26,2010,Train,1,679,679,684,5,685,15.25,0.1639344262295081,1,0.0163934426229508,0.7201067954993325,0.0327868852459016,0.3278688524590163,-0.2950819672131147,upside_failure,6,0.13114754098360656,0.03278688524590164,0.06557377049180328,-0.01639344262295082,-0.08196721311475409,all_events
2010-08-16,2010,Train,1,634,644,664,20,665,26.25,0.1523809523809524,6,0.0857142857142857,0.7971500725901888,0.0761904761904762,0.2,-0.1238095238095238,upside_failure,7,-0.0761904761904762,-0.05714285714285714,-0.009523809523809525,0.02857142857142857,-0.01904761904761905,all_events
2010-08-30,2010,Train,-1,819,824,824,0,825,15.75,0.0793650793650793,1,0.0793650793650793,0.2398859496277522,0.1587301587301587,0.3174603174603174,-0.1587301587301587,downside_failure,8,0.12698412698412698,0.1746031746031746,0.015873015873015872,0.0,0.015873015873015872,all_events
2010-09-13,2010,Train,1,644,649,694,45,695,12.25,0.2653061224489796,10,0.0,0.5564366359107391,0.6938775510204082,0.0816326530612244,0.6122448979591837,upside_failure,9,-0.12244897959183673,0.04081632653061224,0.061224489795918366,0.04081632653061224,0.061224489795918366,all_events
2010-09-27,2010,Train,-1,674,679,684,5,685,9.0,0.1944444444444444,2,0.0555555555555555,0.9748831553748528,0.3055555555555556,0.25,0.0555555555555555,downside_failure,10,-0.027777777777777776,0.08333333333333333,0.08333333333333333,0.19444444444444445,0.0,all_events
2010-11-01,2010,Train,-1,664,699,829,130,830,15.5,0.7096774193548387,33,0.032258064516129,1.4030460133061142,0.064516129032258,0.5161290322580645,-0.4516129032258064,downside_failure,11,-0.08064516129032258,-0.11290322580645161,-0.24193548387096775,-0.45161290322580644,-0.46774193548387094,all_events
2010-11-08,2010,Train,1,804,809,809,0,810,14.0,0.1071428571428571,1,0.0714285714285714,0.3510465828439673,0.2321428571428571,0.1428571428571428,0.0892857142857143,upside_failure,12,0.08928571428571429,0.19642857142857142,0.21428571428571427,0.2857142857142857,0.17857142857142858,all_events
2010-12-06,2010,Train,-1,699,699,704,5,705,8.75,0.1714285714285714,1,0.1428571428571428,0.8747114763179762,0.1714285714285714,0.2285714285714285,-0.0571428571428571,downside_failure,13,0.2571428571428571,0.14285714285714285,0.08571428571428572,0.2571428571428571,0.34285714285714286,all_events
