year,split,n,mean_net,mean_R,win,median_risk
2010,IS,4,1.15625,0.020620956104827004,0.5,8.6875
2011,IS,9,1.6527777777777777,0.5035227162834333,0.5555555555555556,6.125
2012,IS,29,-1.021551724137931,-0.17859139214291228,0.3448275862068966,8.5
2013,IS,45,-0.6833333333333333,-0.033706593119855244,0.4222222222222222,6.875
2014,IS,54,-1.4375,-0.041549100879258,0.37037037037037035,10.125
2015,IS,57,-2.133771929824561,-0.2339869957968751,0.3508771929824561,13.75
2016,IS,66,-2.452651515151515,-0.12176109723309693,0.3333333333333333,12.6875
2017,IS,59,4.6673728813559325,0.19735756665667561,0.4745762711864407,12.125
2018,IS,64,5.64453125,0.1592100965881959,0.4375,26.4375
2019,IS,64,-3.17578125,-0.13749704794496467,0.390625,22.25
2020,IS,56,21.513392857142858,0.27915692864744496,0.48214285714285715,50.1875
2021,IS,47,17.159574468085108,0.2793007858524336,0.5106382978723404,49.625
2022,Validation,43,29.447674418604652,0.3494545903530415,0.6046511627906976,68.375
2023,Validation,58,9.799568965517242,0.13005746399332394,0.43103448275862066,52.9375
2024,Validation,63,-2.8313492063492065,-0.13336504411523215,0.3492063492063492,61.25
2025,OOS,43,6.8313953488372094,0.057718242022017564,0.4418604651162791,84.0
2026,OOS,26,35.89903846153846,0.22918949122097415,0.46153846153846156,107.875
