feature,continuation_bin,failure_bin,train_gap,inner_gap,oos_gap
breakout_excess_ib,High,Mid,0.1003284072249589,0.04813546423135462,-0.16705882352941182
range_sofar_ib,High,Low,0.06837774294670851,0.02419032387045178,0.12333333333333335
signal_delay_min,Low,Mid,0.04496268656716418,0.09397549924483978,-0.0800260247234873
signal_range_ib,High,Low,0.10022988505747127,0.09956709956709953,-0.006782945736434121
signal_vol_vs_ib5mean,High,Low,0.06285714285714283,0.10598377281947269,0.0941558441558441
trend_efficiency,High,Low,0.05142857142857149,0.067616300036062,-0.007758620689655216
