split,outcome,adverse,ambiguous_same_minute,favorable
IS,loser_or_flat,0.5864197530864198,0.0,0.41358024691358025
IS,winner,0.3173913043478261,0.004347826086956522,0.6782608695652174
OOS,loser_or_flat,0.3684210526315789,0.0,0.631578947368421
OOS,winner,0.5483870967741935,0.0,0.45161290322580644
Validation,loser_or_flat,0.5714285714285714,0.0,0.42857142857142855
Validation,winner,0.3698630136986301,0.0,0.6301369863013698
