split,n_trades,mean_gross,mean_net,median_net,hit_rate,eligible
IS,51584,-0.03577175093052109,-1.035771750930521,-1.0,0.4032645781637717,True
Validation,15728,0.038911495422177006,-0.961088504577823,-1.0,0.47685656154628686,True
OOS,8778,-0.3190077466393256,-1.3190077466393255,-1.25,0.47607655502392343,True
ALL,76090,-0.05300959390195821,-1.0530095939019581,-1.0,0.42687606781443027,True
