split,n_trades,mean_gross,mean_net,median_net,hit_rate,eligible
IS,38444,-0.17719279991676204,-1.177192799916762,-1.25,0.3959525543647903,True
Validation,14012,0.010794319155009991,-0.98920568084499,-0.75,0.48137310876391665,True
OOS,7230,0.07147302904564315,-0.9285269709543569,-1.5,0.4782849239280775,True
ALL,59686,-0.10293871259591864,-1.1029387125959187,-1.25,0.425979291626177,True
