session,T_offset,horizon,tier,HIGH_bias_IS_n,HIGH_bias_IS_win,ALL_bias_IS_win,HIGH_long_IS_win,lift_win_IS,lift_E_IS,lift_win_Val,lift_win_OOS,HIGH_bias_OOS_win,ALL_bias_OOS_win,HIGH_long_OOS_win,year_ok
LONDON,120,90,soft,811,0.5203452527743526,0.48783557046979864,0.5252774352651048,0.03250968230455398,0.5542555590496445,0.01570351285586219,0.015173527037933843,0.5333333333333333,0.5181598062953995,0.6,True
LONDON,120,120,soft,811,0.5178791615289766,0.4811241610738255,0.5240443896424167,0.03675500045515112,0.7335531419905825,0.02932025523387649,0.0002152273338713595,0.5111111111111111,0.5108958837772397,0.6,False
NY_PM,60,120,soft,791,0.5145385587863464,0.5071028842014637,0.5423514538558787,0.007435674584882701,1.0221953226488483,0.03842868178306902,0.017862844573739656,0.5140845070422535,0.49622166246851385,0.5492957746478874,False
ASIA,180,120,soft,711,0.5161744022503516,0.4813218390804598,0.5386779184247539,0.034852563169891826,0.48111571851205204,-0.019871858661788033,-0.00158519501585197,0.4898989898989899,0.49148418491484186,0.4696969696969697,False
