condition,T_offset,horizon,split,n,n_unc,rate,abs_mean,unc_abs_mean,delta_abs_mean,p_abs_gt_10,unc_p_abs_gt_10,delta_p_abs10,dir_win,dir_mean,delta_dir_win_vs_50,raw_win,unc_raw_win,delta_raw_win,onr_abs_mean,unc_onr_abs_mean,dir_onr_mean
vol_expansion_high,5,5,IS,821,2415,0.3399585921325052,7.679963459196102,8.311697722567288,-0.631734263371186,0.24116930572472595,0.25424430641821943,-0.013075000693493488,0.5281862745098039,0.25,0.028186274509803932,0.47990255785627284,0.47991718426501034,-1.462640873750587e-05,0.26805767861739616,0.19887510849029774,0.003464851895915691
vol_expansion_high,5,15,IS,821,2415,0.3399585921325052,12.532277710109623,13.324327122153209,-0.7920494120435855,0.392204628501827,0.4140786749482402,-0.021874046446413165,0.49754901960784315,-0.7689950980392157,-0.002450980392156854,0.5091352009744214,0.50351966873706,0.0056155322373614425,0.4265575820385409,0.32160239138780333,0.0025776813293509303
vol_expansion_high,5,30,IS,821,2415,0.3399585921325052,16.149208282582215,17.369254658385092,-1.2200463758028768,0.46163215590742995,0.49440993788819876,-0.032777781980768805,0.5134803921568627,0.19424019607843138,0.013480392156862697,0.5468940316686967,0.5163561076604555,0.03053792400824118,0.5423923553441962,0.4188835729233006,0.04213662029354665
vol_expansion_high,5,5,Validation,218,774,0.28165374677002586,20.567660550458715,21.4906330749354,-0.922972524476684,0.6651376146788991,0.6847545219638242,-0.019616907284925156,0.5091743119266054,-0.2029816513761468,0.00917431192660545,0.5458715596330275,0.5155038759689923,0.030367683664035194,0.22766663221497332,0.1679558530505958,-0.012860373589711845
vol_expansion_high,5,15,Validation,218,774,0.28165374677002586,34.90711009174312,36.815568475452196,-1.9084583837090747,0.7660550458715596,0.8036175710594315,-0.037562525187871953,0.5596330275229358,5.182339449541284,0.059633027522935755,0.5229357798165137,0.4909560723514212,0.031979707465092544,0.38267276652763893,0.2861709761009663,0.03974196870019441
vol_expansion_high,5,30,Validation,218,774,0.28165374677002586,48.9644495412844,50.015826873385016,-1.0513773321006141,0.8623853211009175,0.851421188630491,0.01096413247042649,0.5321100917431193,6.182339449541284,0.032110091743119296,0.4954128440366973,0.48320413436692505,0.012208709669772222,0.5378258228437481,0.39564527488396917,0.05031009950361998
vol_expansion_high,5,5,OOS,121,412,0.2936893203883495,26.642561983471076,30.394417475728154,-3.7518554922570786,0.6611570247933884,0.75,-0.08884297520661155,0.5537190082644629,-2.522727272727273,0.05371900826446285,0.4297520661157025,0.49029126213592233,-0.06053919602021984,0.19828497619462798,0.15657009365898483,-0.010541636982164745
vol_expansion_high,5,15,OOS,121,412,0.2936893203883495,55.836776859504134,54.390776699029125,1.446000160475009,0.8347107438016529,0.8543689320388349,-0.019658188237182017,0.5371900826446281,2.0392561983471076,0.037190082644628086,0.49586776859504134,0.5242718446601942,-0.028404076065152828,0.41961726924974097,0.29331530248364907,0.03910207467895345
vol_expansion_high,5,30,OOS,121,412,0.2936893203883495,85.41735537190083,78.41322815533981,7.004127216561017,0.9338842975206612,0.9029126213592233,0.03097167616143781,0.5041322314049587,3.9338842975206614,0.004132231404958664,0.49586776859504134,0.5315533980582524,-0.03568562946321108,0.6513240888042279,0.42524051703252486,0.08325231882800829
vol_expansion_high,5,5,ALL,1160,3601,0.3221327409053041,12.079956896551725,13.670924743126909,-1.5909678465751842,0.3646551724137931,0.4034990280477645,-0.038843855633971414,0.5272727272727272,-0.12597402597402596,0.027272727272727226,0.4870689655172414,0.4887531241321855,-0.0016841586149441423,0.2531889328338762,0.18738908521319964,-0.0010837925284259001
