sample,unit,n_sessions,5m_n,5m_median,5m_mean,5m_std,5m_pct_positive,15m_n,15m_median,15m_mean,15m_std,15m_pct_positive,30m_n,30m_median,30m_mean,30m_std,30m_pct_positive,60m_n,60m_median,60m_mean,60m_std,60m_pct_positive,120m_n,120m_median,120m_mean,120m_std,120m_pct_positive,session_end_n,session_end_median,session_end_mean,session_end_std,session_end_pct_positive
all_eligible,points,3068,3065,-0.25,-0.2865415986949429,19.71923238272769,46.427406199021206,3050,0.0,-0.09729508196721312,23.32353031407804,47.73770491803278,3012,0.0,-0.14218127490039842,25.93038478287686,48.43957503320053,2861,0.0,0.16821041593848304,30.302899687218247,49.17860887801468,3059,0.25,0.76634521085322,38.37624901936641,51.25858123569794,3068,-1.375,-5.6103324641460235,180.46518660383572,48.696219035202084
all_eligible,range,3068,3065,-0.002564102564102564,-0.0012474347941002842,0.06896411846687502,46.427406199021206,3050,0.0,-0.0006040661115419021,0.08378267988484055,47.73770491803278,3012,0.0,-2.8729073287130412e-05,0.09715359880541204,48.43957503320053,2861,0.0,0.00038648084124397577,0.1107486396572829,49.17860887801468,3059,0.004310344827586207,0.004146140902551153,0.14473999209133528,51.25858123569794,3068,-0.016513939917873352,-0.009839997819730611,0.7749728872573577,48.696219035202084
retracement_only,points,696,695,1.0,3.7906474820143883,26.012256427508937,57.55395683453237,688,0.75,4.098837209302325,28.48987355707393,54.79651162790697,681,0.5,2.8359030837004404,31.008062866767684,52.42290748898678,621,0.5,3.46658615136876,38.74658141346235,53.3011272141707,694,1.0,4.373198847262248,44.13116831211743,54.7550432276657,696,-4.375,-18.836206896551722,160.77275710822897,47.270114942528735
retracement_only,range,696,695,0.010238907849829351,0.01504463840150489,0.06709961081884573,57.55395683453237,688,0.009101263201490992,0.015128464801334025,0.08345867172457419,54.79651162790697,681,0.005333333333333333,0.012263635206638607,0.09715563530961167,52.42290748898678,621,0.00715307582260372,0.011061057498661757,0.1106794162090031,53.3011272141707,694,0.01228838399090473,0.013465507572258133,0.13945516514757067,54.7550432276657,696,-0.043481548699334543,-0.06467731568632978,0.7040362062326434,47.270114942528735
bullish,points,1681,1680,-0.25,-0.12842261904761904,14.904724824979574,46.42857142857143,1670,-0.25,0.40658682634730536,18.20845242439286,47.24550898203593,1651,0.0,0.4588128407026045,20.605524035355586,48.94003634161114,1567,0.25,0.9535737077217613,25.557065401682422,51.18059987236758,1678,0.75,2.3606972586412396,32.96449862562396,53.575685339690104,1681,6.0,3.05785246876859,161.62205865247458,54.01546698393813
bullish,range,1681,1680,-0.0021480173019000383,-0.0007057684596381992,0.06219329223026295,46.42857142857143,1670,-0.0010492451552292937,0.000692968921654054,0.07976615197759897,47.24550898203593,1651,0.0,0.0009818455597431454,0.09157961092700669,48.94003634161114,1567,0.0031645569620253164,0.0012897419787008628,0.10435683838989843,51.18059987236758,1678,0.0090364725095264,0.00996815928464344,0.13795355312942859,53.575685339690104,1681,0.06206896551724138,0.04194792480250315,0.7658293001797654,54.01546698393813
bearish,points,1387,1385,-0.25,-0.47833935018050544,24.31647190211321,46.42599277978339,1380,0.0,-0.7070652173913043,28.298705421081703,48.333333333333336,1361,-0.25,-0.871234386480529,31.185657246351795,47.832476120499635,1294,-0.5,-0.7828438948995363,35.190882138969535,46.754250386398766,1381,-0.25,-1.170890658942795,44.00143521049016,48.443157132512674,1387,-11.25,-16.11589762076424,200.50668444334423,42.24945926459986
bearish,range,1387,1385,-0.002617801047120419,-0.0019044741023286611,0.07639390553496578,46.42599277978339,1380,0.0,-0.002173666477800777,0.0884034357486147,48.333333333333336,1361,-0.0012642225031605564,-0.001254635553179111,0.10353423477761349,47.832476120499635,1294,-0.004426945603416192,-0.0007073446629252218,0.11805832002062532,46.754250386398766,1381,-0.0027624309392265192,-0.002927969774603701,0.15233162758186314,48.443157132512674,1387,-0.12416107382550336,-0.0726053171621783,0.7815996792576063,42.24945926459986
