bucket,n_sessions,5m_n,5m_median,5m_mean,5m_std,5m_pct_positive,15m_n,15m_median,15m_mean,15m_std,15m_pct_positive,30m_n,30m_median,30m_mean,30m_std,30m_pct_positive,60m_n,60m_median,60m_mean,60m_std,60m_pct_positive,120m_n,120m_median,120m_mean,120m_std,120m_pct_positive,session_end_n,session_end_median,session_end_mean,session_end_std,session_end_pct_positive,median_minutes_from_open,median_minutes_remaining
0-10%,342,341,-0.0021141649048625794,-0.0019552805428053473,0.05440604912578249,44.57478005865102,340,-0.0013912754067400424,-0.0039645654531327065,0.08483841850148055,45.88235294117647,330,0.0,-0.0008199766597370236,0.11828154862607049,48.484848484848484,326,-0.00401839748244977,-0.01232919168187625,0.21654462329190738,48.466257668711656,337,-0.002560819462227913,-0.018281750563182455,0.21579866126659328,47.774480712166174,342,0.07294863924698178,0.03039860482812256,0.6682660296425785,54.385964912280706,110.5,1294.0
10-20%,13,13,0.0,0.02977535832038613,0.10709803890017117,46.15384615384615,13,0.056291390728476824,0.07395305544807815,0.1358524524547202,76.92307692307693,12,0.03756613756613757,0.04749130701405339,0.12562008256748136,66.66666666666666,13,0.06349206349206349,0.07932344262006749,0.16254407104618987,61.53846153846154,13,0.09635416666666667,0.09209809268909996,0.23637058151379806,69.23076923076923,13,-0.06454062262718299,-0.0834136348544656,1.0335720628356035,46.15384615384615,119.0,1200.0
20-30%,1,1,0.031055900621118012,0.031055900621118012,,100.0,1,0.031055900621118012,0.031055900621118012,,100.0,1,0.049689440993788817,0.049689440993788817,,100.0,1,0.11180124223602485,0.11180124223602485,,100.0,1,0.12422360248447205,0.12422360248447205,,100.0,1,0.2608695652173913,0.2608695652173913,,100.0,119.0,1200.0
30-40%,1,1,-0.01903553299492386,-0.01903553299492386,,0.0,1,-0.008883248730964468,-0.008883248730964468,,0.0,1,0.13388324873096447,0.13388324873096447,,100.0,1,0.1732233502538071,0.1732233502538071,,100.0,1,0.26713197969543145,0.26713197969543145,,100.0,1,0.7379441624365483,0.7379441624365483,,100.0,961.0,417.0
40-50%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
50-75%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
75-100%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
>100%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
