bucket,n_sessions,5m_n,5m_median,5m_mean,5m_std,5m_pct_positive,15m_n,15m_median,15m_mean,15m_std,15m_pct_positive,30m_n,30m_median,30m_mean,30m_std,30m_pct_positive,60m_n,60m_median,60m_mean,60m_std,60m_pct_positive,120m_n,120m_median,120m_mean,120m_std,120m_pct_positive,session_end_n,session_end_median,session_end_mean,session_end_std,session_end_pct_positive,median_minutes_from_open,median_minutes_remaining
0-10%,655,652,0.0,-0.36733128834355827,26.72064259406378,48.466257668711656,647,0.0,0.5606646058732612,26.6691489999427,48.53168469860896,635,0.0,2.0003937007874018,34.07460876926555,48.661417322834644,625,-0.25,0.2668,44.474823593285294,48.480000000000004,646,-0.5,0.8192724458204335,52.87344422998337,46.59442724458204,655,1.25,-5.995419847328244,157.6304450408003,50.68702290076336,100.0,1292.0
10-20%,28,28,0.0,5.080357142857143,22.195684178777217,42.857142857142854,28,0.375,7.321428571428571,28.07066621203176,53.57142857142857,27,-0.25,2.212962962962963,22.698346231662377,40.74074074074074,28,0.375,6.5,26.231254329591327,53.57142857142857,28,1.5,15.598214285714286,55.87876838256531,60.71428571428571,28,-0.625,25.580357142857142,94.23436734417339,50.0,119.0,1207.0
20-30%,5,5,0.0,0.35,0.6274950199005567,40.0,5,-0.25,0.05,1.2673791855636576,40.0,4,0.25,0.3125,1.4630874888399532,50.0,5,1.0,1.35,2.169389314991664,80.0,5,-1.5,-0.9,4.598233356409829,40.0,5,-17.0,-7.9,20.595509219244857,40.0,119.0,1200.0
30-40%,7,7,-2.0,-53.285714285714285,122.03657482590249,28.57142857142857,7,-1.75,-39.75,101.68025865427369,28.57142857142857,6,-0.75,-36.5,171.2521532711341,50.0,6,-0.875,-5.458333333333333,58.560100893583396,33.33333333333333,5,5.75,-26.9,138.7427475582057,80.0,7,-2.25,-2.142857142857143,144.52521818172838,42.857142857142854,785.0,593.0
40-50%,1,1,-3.5,-3.5,,0.0,1,-9.0,-9.0,,0.0,1,-14.25,-14.25,,0.0,1,-11.25,-11.25,,0.0,1,-0.25,-0.25,,0.0,1,-3.0,-3.0,,0.0,961.0,417.0
50-75%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
75-100%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
>100%,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,
