baseline,cell_id,split,n_trades,mean_net,mean_gross,state_label
shuffle_side,A,IS,274147,-0.9635496649607692,0.03645033503923078,
shuffle_side,A,Validation,98494,-0.9138754644952992,0.0861245355047008,
shuffle_side,A,OOS,49772,-0.7719852527525516,0.22801474724744836,
shuffle_side,A,ALL,422413,-0.9293955204977119,0.07060447950228804,
shuffle_side,B,IS,196852,-0.9916587080649422,0.00834129193505781,
shuffle_side,B,Validation,60162,-0.8205387121438782,0.1794612878561218,
shuffle_side,B,OOS,33442,-0.8151351593804198,0.18486484061958017,
shuffle_side,B,ALL,290456,-0.9358904618944005,0.06410953810559947,
shuffle_side,C,IS,24501,-0.9327986612791315,0.06720133872086853,
shuffle_side,C,Validation,9970,-0.3234704112337011,0.6765295887662989,
shuffle_side,C,OOS,5246,-1.8300133434998094,-0.8300133434998094,
shuffle_side,C,ALL,39717,-0.8983495732306065,0.10165042676939345,
shuffle_side,D,IS,143168,-0.9366827782744748,0.06331722172552526,
shuffle_side,D,Validation,41421,-0.6780618526834215,0.32193814731657855,
shuffle_side,D,OOS,21112,-0.8110553239863585,0.18894467601364154,
shuffle_side,D,ALL,205701,-0.871711853612768,0.12828814638723196,
all_bars_long,A,IS,296047,-0.9292316760514377,0.07076832394856222,TRENDING
all_bars_long,A,Validation,100201,-1.2200127743236096,-0.22001277432360955,TRENDING
all_bars_long,A,OOS,50422,-0.7382095117210742,0.26179048827892587,TRENDING
all_bars_long,A,ALL,446670,-0.9728988962768934,0.027101103723106545,TRENDING
all_bars_short,A,IS,296047,-1.0707683239485621,-0.07076832394856222,TRENDING
all_bars_short,A,Validation,100201,-0.7799872256763904,0.22001277432360955,TRENDING
all_bars_short,A,OOS,50422,-1.261790488278926,-0.26179048827892587,TRENDING
all_bars_short,A,ALL,446670,-1.0271011037231066,-0.027101103723106545,TRENDING
all_bars_long,B,IS,294869,-0.937662996110137,0.062337003889862956,CHOP_RANGE
all_bars_long,B,Validation,91478,-0.8714363016244343,0.12856369837556572,CHOP_RANGE
all_bars_long,B,OOS,51196,-0.565146691147746,0.4348533088522541,CHOP_RANGE
all_bars_long,B,ALL,437543,-0.8802294860162315,0.11977051398376845,CHOP_RANGE
all_bars_short,B,IS,294869,-1.062337003889863,-0.062337003889862956,CHOP_RANGE
all_bars_short,B,Validation,91478,-1.1285636983755658,-0.12856369837556572,CHOP_RANGE
all_bars_short,B,OOS,51196,-1.4348533088522542,-0.4348533088522541,CHOP_RANGE
all_bars_short,B,ALL,437543,-1.1197705139837684,-0.11977051398376845,CHOP_RANGE
all_bars_long,C,IS,292914,-0.9248209372034112,0.07517906279658876,COMPRESSION
all_bars_long,C,Validation,104970,-0.852167285891207,0.14783271410879298,COMPRESSION
all_bars_long,C,OOS,56541,-0.9489662368900444,0.05103376310995561,COMPRESSION
all_bars_long,C,ALL,454425,-0.9110425262694614,0.0889574737305386,COMPRESSION
all_bars_short,C,IS,292914,-1.0751790627965887,-0.07517906279658876,COMPRESSION
all_bars_short,C,Validation,104970,-1.147832714108793,-0.14783271410879298,COMPRESSION
all_bars_short,C,OOS,56541,-1.0510337631099556,-0.05103376310995561,COMPRESSION
all_bars_short,C,ALL,454425,-1.0889574737305385,-0.0889574737305386,COMPRESSION
all_bars_long,D,IS,298101,-1.0000352229613454,-3.522296134531585e-05,EXPANSION
all_bars_long,D,Validation,89411,-0.9347255930478353,0.06527440695216473,EXPANSION
all_bars_long,D,OOS,45183,-0.7892459553371843,0.21075404466281566,EXPANSION
all_bars_long,D,ALL,432695,-0.9645287095991403,0.03547129040085973,EXPANSION
all_bars_short,D,IS,298101,-0.9999647770386547,3.522296134531585e-05,EXPANSION
all_bars_short,D,Validation,89411,-1.0652744069521647,-0.06527440695216473,EXPANSION
all_bars_short,D,OOS,45183,-1.2107540446628156,-0.21075404466281566,EXPANSION
all_bars_short,D,ALL,432695,-1.0354712904008598,-0.03547129040085973,EXPANSION
