cell_id,cell_name,state_label,family,split,signals_per_year,n_trades,mean_gross,mean_net,median_net,sum_net,win_rate,avg_winner,avg_loser,payoff_ratio,profit_factor,median_mfe_5,median_mfe_15,median_mae_5,median_mae_15,n_sessions,signals_per_session
A,TRENDING_CONTINUATION,TRENDING,continuation,IS,22845.583333333332,274147,-0.06748113238518022,-1.0674811323851803,-1.0,-292646.75,0.4172214177065589,9.036778720055954,-8.301298140416982,1.088598261042824,0.7793466053570398,2.5,4.5,2.5,4.5,2408,113.8484219269103
A,TRENDING_CONTINUATION,TRENDING,continuation,Validation,32831.333333333336,98494,0.0541530448555242,-0.9458469551444758,-1.0,-93160.25,0.47849615204987106,22.650480595811498,-22.596218241993576,1.0024013909423604,0.9197347445482819,9.5,16.5,9.75,16.75,774,127.2532299741602
A,TRENDING_CONTINUATION,TRENDING,continuation,OOS,24886.0,49772,-0.1388280559350639,-1.1388280559350639,-1.25,-56681.75,0.48002893192959895,33.80454754729617,-33.397990726429676,1.0121730922137409,0.9344219288705833,13.25,22.75,13.25,22.75,412,120.80582524271844
A,TRENDING_CONTINUATION,TRENDING,continuation,ALL,24847.823529411766,422413,-0.047526354539277914,-1.047526354539278,-1.0,-442488.75,0.4389093138705485,15.689125193499496,-14.139656430898013,1.1095831974541885,0.8679637925134761,4.25,7.25,4.25,7.25,3594,117.5328324986088
B,CHOP_MEAN_REVERSION,CHOP_RANGE,mean_reversion,IS,16404.333333333332,196852,-0.041081624773941845,-1.0410816247739418,-1.0,-204939.0,0.3983398695466645,7.292792103450914,-6.55867204782249,1.1119312034929625,0.7361739761790741,2.0,3.5,2.0,3.5,2395,82.1929018789144
B,CHOP_MEAN_REVERSION,CHOP_RANGE,mean_reversion,Validation,20054.0,60162,-0.1239860709417905,-1.1239860709417906,-1.25,-67621.25,0.47257405006482495,19.57573599240266,-19.670952696101605,0.9951595275953353,0.8916636894224252,8.5,14.5,8.25,14.75,774,77.72868217054264
B,CHOP_MEAN_REVERSION,CHOP_RANGE,mean_reversion,OOS,16721.0,33442,-0.020371090245798695,-1.0203710902457988,-1.125,-34123.25,0.4814903414867532,26.989333623152405,-27.030305651672435,0.9984842188228272,0.9271968218849577,10.75,18.75,10.75,18.75,412,81.16990291262135
B,CHOP_MEAN_REVERSION,CHOP_RANGE,mean_reversion,ALL,17085.647058823528,290456,-0.05586904729115597,-1.055869047291156,-1.0,-306683.5,0.4232895860302421,12.712770543404881,-11.161671910166021,1.138966513773454,0.8359701029133052,3.0,5.5,3.25,5.75,3581,81.11030438425021
C,COMPRESSION_BREAKOUT,COMPRESSION,breakout,IS,2041.75,24501,-0.03405983429247786,-1.0340598342924778,-1.0,-25335.5,0.4109628178441696,9.238280862051843,-8.200925027716186,1.1264925396622656,0.7859377343306092,2.5,4.5,2.5,4.25,2380,10.29453781512605
C,COMPRESSION_BREAKOUT,COMPRESSION,breakout,Validation,3323.3333333333335,9970,-0.6541624874623871,-1.6541624874623873,-0.75,-16492.0,0.4826479438314945,21.206151288445554,-22.981000387747187,0.9227688495124028,0.8608692717824121,9.0,15.75,9.5,16.0,771,12.931258106355383
C,COMPRESSION_BREAKOUT,COMPRESSION,breakout,OOS,2623.0,5246,-0.8960636675562333,-1.8960636675562332,-1.75,-9946.75,0.47159740754860846,31.479486661277285,-31.683621933621932,0.9935570727118157,0.8867461031345714,12.5,20.5,13.0,22.5,411,12.763990267639903
C,COMPRESSION_BREAKOUT,COMPRESSION,breakout,ALL,2336.294117647059,39717,-0.3035790719339326,-1.3035790719339326,-1.0,-51774.25,0.4369665382581766,15.727139152981849,-14.52100661837045,1.0830612206377983,0.8405566355499952,4.25,7.5,4.25,7.5,3562,11.150196518809658
D,EXPANSION_EXHAUSTION,EXPANSION,exhaustion_reversal,IS,11930.666666666666,143168,0.3217234298167188,-0.6782765701832811,-0.75,-97107.5,0.4254651877514528,8.21952210529772,-7.267439669321014,1.1310065826890665,0.8375539963690852,2.25,4.0,2.25,4.0,2401,59.62848812994586
D,EXPANSION_EXHAUSTION,EXPANSION,exhaustion_reversal,Validation,13807.0,41421,-0.3454045049612515,-1.3454045049612515,-1.0,-55728.0,0.4786460973902127,21.387231413295673,-22.215848576059273,0.9627015299493645,0.8838398023975966,9.5,16.0,9.25,16.25,770,53.79350649350649
D,EXPANSION_EXHAUSTION,EXPANSION,exhaustion_reversal,OOS,10556.0,21112,0.4267241379310345,-0.5732758620689655,-0.25,-12103.0,0.4963054187192118,33.07499045619393,-33.727924581530935,0.980641141326124,0.9662552077125377,13.5,23.0,13.25,22.5,408,51.745098039215684
D,EXPANSION_EXHAUSTION,EXPANSION,exhaustion_reversal,ALL,12100.058823529413,205701,0.1981638397479837,-0.8018361602520163,-0.75,-164938.5,0.44344461135337215,13.936642840698553,-12.544960431151951,1.1109355758580746,0.8851560953761748,3.5,6.0,3.5,6.0,3579,57.47443419949707
